ivtyp,iregn,ildv,iage,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,2,23,5452,6568,7684,8041,7133,7954,8028,10048,10128
1,1,2,24,6398,7022,7647,7299,7520,6949,7832,9904,10031
1,1,2,25,5547,5926,6305,6230,6272,6260,6449,9901,9908
1,2,2,1,11176,9620,8064,8149,8107,8107,8107,8107,8107
1,2,2,2,11654,7537,3420,5813,8392,7230,6431,8610,10601
1,2,2,3,12756,11769,10781,6328,8242,10633,8426,8470,11411
1,2,2,4,12973,10971,8968,9536,9335,9011,11811,8515,11359
1,2,2,5,12905,12786,12667,8920,10181,9319,9630,15246,11163
1,2,2,6,10128,11471,12813,10977,10168,10601,10436,13561,15577
1,2,2,7,10402,11781,13160,9527,10069,10649,10594,13035,13614
1,2,2,8,8668,10496,12324,10178,8923,10377,10995,11568,13047
1,2,2,9,11561,12189,12816,10025,9503,9398,10789,13625,11594
1,2,2,10,11307,12371,13435,12329,9865,9937,9822,13055,13624
1,2,2,11,12909,12574,12239,12955,12168,9999,10251,13365,13075
1,2,2,12,11927,11581,11235,11883,12173,11535,10208,13018,13401
1,2,2,13,11650,12264,12878,10240,10287,11477,10465,12008,13034
1,2,2,14,11403,11886,12369,12116,10016,10515,11142,11546,12001
1,2,2,15,10883,11448,12012,11690,11414,9619,9276,10812,11564
1,2,2,16,10097,10823,11549,11417,10837,10853,9609,9716,10812
1,2,2,17,9692,10182,10672,11017,10518,10291,10566,9365,9708
1,2,2,18,7988,9466,10945,10292,10244,10153,9873,10571,9390
1,2,2,19,7879,8626,9373,10114,9566,9817,9734,10150,10570
1,2,2,20,7546,8055,8563,9490,9403,9134,9650,10226,10137
1,2,2,21,6780,7638,8497,8260,8655,8781,8796,10148,10249
1,2,2,22,7288,7610,7932,7631,7738,8437,8511,10172,10149
1,2,2,23,5054,6076,7099,7299,7572,7657,7904,9968,10144
1,2,2,24,6097,6689,7280,7039,6819,6547,7429,9875,9957
1,2,2,25,5480,5775,6069,6069,6219,6184,6260,9456,9497
1,3,2,1,12614,10741,8867,10029,9448,9448,9448,9448,9448
1,3,2,2,11537,9083,6630,8044,10019,9327,8818,9932,11993
1,3,2,3,13790,12723,11655,8233,10937,10621,10823,9986,12695
1,3,2,4,13508,11510,9512,9923,10960,11387,11704,10084,12885
1,3,2,5,13399,13518,13637,8987,10071,10647,12390,16261,12622
1,3,2,6,10519,11375,12231,10996,10451,10491,11418,15780,16321
1,3,2,7,10615,11780,12945,9305,10238,11366,11503,14403,15767
1,3,2,8,9508,10695,11883,9858,9015,10850,11772,12062,14386
1,3,2,9,11209,12573,13938,9650,9803,9767,11230,14457,12067
1,3,2,10,9814,11721,13628,13301,9865,10228,10214,14202,14454
1,3,2,11,13288,12426,11564,12807,13053,10128,10449,14360,14177
1,3,2,12,12210,11537,10863,10793,12642,12751,10235,14022,14338
1,3,2,13,11689,12651,13613,9786,10127,11689,11994,12930,14002
1,3,2,14,11571,11941,12311,12794,9699,9532,11248,12253,12881
1,3,2,15,11281,11823,12366,11663,11912,9553,9692,11534,12210
1,3,2,16,9908,10913,11919,11546,11095,11259,9635,9928,11531
1,3,2,17,9244,10236,11227,11151,11130,10572,10843,9768,9926
1,3,2,18,8242,9329,10417,10509,10473,10630,10123,11302,9780
1,3,2,19,7790,9040,10291,9794,9774,10126,10027,10658,11270
1,3,2,20,7054,8269,9485,9701,9531,9371,9651,10752,10631
1,3,2,21,6627,7375,8123,9180,8979,9272,8879,10711,10760
1,3,2,22,5965,6834,7703,7765,7875,8623,8598,10683,10695
1,3,2,23,5182,6266,7350,7683,7681,7756,8350,10352,10678
1,3,2,24,6089,6700,7310,6927,8148,7156,7479,10298,10368
1,3,2,25,4948,5371,5794,5625,5942,6038,6195,9915,9972
1,4,2,1,12090,10668,9246,9865,9555,9555,9555,9555,9555
1,4,2,2,11848,8480,5113,9929,10079,9823,9539,10164,12104
1,4,2,3,12656,11100,9545,8472,11948,11827,11576,10199,12978
1,4,2,4,12662,11063,9463,9272,10770,12394,12858,10289,13199
1,4,2,5,12838,12967,13095,9165,10466,10912,13489,16454,12744
1,4,2,6,10251,11440,12628,10446,10876,11129,11745,16007,16465
1,4,2,7,10788,11852,12917,9252,9982,11447,10831,14608,16030
1,4,2,8,10196,11228,12260,9740,8973,10634,11966,12203,14531
1,4,2,9,9386,11671,13955,9475,9823,9762,11036,14716,12220
1,4,2,10,10006,11986,13967,13543,10016,10137,10238,14550,14711
1,4,2,11,13329,12540,11752,12722,13105,10174,10449,14630,14517
1,4,2,12,12082,10642,9201,11507,12417,12615,10354,14219,14603
1,4,2,13,11631,12369,13106,9045,10776,11572,12398,13297,14211
1,4,2,14,11692,11869,12045,12518,10921,10423,11623,12483,13292
1,4,2,15,10569,10877,11185,11622,11756,11062,9690,11583,12512
1,4,2,16,10015,10430,10844,10775,11128,11214,9871,10256,11609
1,4,2,17,9166,9703,10240,10625,11035,10423,10783,10004,10182
1,4,2,18,8630,9191,9751,9911,10425,10404,10097,11498,9950
1,4,2,19,6789,8062,9335,9371,9769,9787,9803,10774,11460
1,4,2,20,7572,8038,8503,8978,9490,9538,9461,10831,10749
1,4,2,21,6250,7235,8220,8365,8954,8542,8775,10698,10816
1,4,2,22,6822,7087,7351,8131,8177,8617,8328,10650,10693
1,4,2,23,5298,6334,7370,7571,7580,8045,7867,10203,10657
1,4,2,24,6060,6726,7392,7055,7538,7565,7876,10120,10159
1,4,2,25,4563,4890,5218,5111,5302,5289,5671,10034,10024
1,5,2,1,11702,9824,7946,9605,8776,8776,8776,8776,8776
1,5,2,2,10500,7305,4109,6020,9395,9455,8462,9261,11187
1,5,2,3,12205,11029,9853,6476,9564,10812,10625,9246,11788
1,5,2,4,12813,11124,9435,8640,8939,9812,11300,9245,11782
1,5,2,5,12490,12323,12157,9288,9654,8782,10797,15548,11534
1,5,2,6,10993,11831,12668,10319,10337,10256,9728,14785,15710
1,5,2,7,10679,11972,13265,9826,10059,10897,10438,13463,14808
1,5,2,8,9082,10615,12149,10541,9500,10406,11231,12195,13462
1,5,2,9,11155,12239,13323,10338,10232,10091,10653,14049,12222
1,5,2,10,10699,11635,12571,12834,10502,10652,10336,13657,14046
1,5,2,11,12423,11959,11496,11730,12269,10581,10635,13885,13629
1,5,2,12,11288,11403,11517,10787,11225,11651,10439,13465,13852
1,5,2,13,11333,11975,12616,10614,10162,10596,11196,12125,13434
1,5,2,14,11067,11359,11651,11906,10384,9993,10501,11812,12110
1,5,2,15,10334,11035,11737,10990,11145,9829,9460,10958,11806
1,5,2,16,9533,10391,11250,11112,10573,10529,9117,9928,10925
1,5,2,17,9033,9834,10635,10647,10634,10041,10138,9760,9914
1,5,2,18,8572,9376,10180,10011,10229,9863,9521,10709,9770
1,5,2,19,7847,8780,9713,9756,9442,9738,9466,10248,10684
1,5,2,20,7495,8110,8724,9219,9212,8892,9287,10560,10203
1,5,2,21,6979,7678,8378,8217,8711,8524,8604,10269,10527
1,5,2,22,7000,7578,8157,8029,7897,8349,8491,10290,10275
1,5,2,23,6484,7021,7558,7314,7611,7646,7899,10063,10276
1,5,2,24,5632,6468,7304,7117,7087,7115,7346,10099,10007
1,5,2,25,5428,5719,6011,5889,6005,5961,6001,9806,9815
1,6,2,1,12936,11150,9364,9382,9373,9373,9373,9373,9373
1,6,2,2,9902,7042,4182,8313,8730,10230,9678,9833,12009
1,6,2,3,12614,11357,10099,8620,11288,10940,11905,9908,12621
1,6,2,4,12653,11015,9378,9651,10328,11916,11508,9814,12613
1,6,2,5,12924,12976,13028,10177,10860,9883,13125,16425,12335
1,6,2,6,10764,11613,12462,10872,11274,11255,11173,16167,16068
1,6,2,7,10122,11991,13859,9817,10531,11621,11600,14764,16138
1,6,2,8,9159,10797,12434,10828,9739,10946,12120,12996,14795
1,6,2,9,11704,13317,14930,10508,10362,10181,11323,15109,12936
1,6,2,10,11252,12481,13710,14083,10429,10919,10334,14776,15052
1,6,2,11,13272,12678,12084,12647,13040,10627,11080,14864,14688
1,6,2,12,12311,11976,11641,11661,12013,12248,10489,14494,14745
1,6,2,13,12203,12585,12967,11416,10459,11348,11646,13160,14421
1,6,2,14,11241,11662,12084,12310,9770,9756,11147,12908,13068
1,6,2,15,10756,11351,11947,11506,11590,9357,9722,11958,12777
1,6,2,16,10038,10719,11400,11182,10707,11244,9557,10737,11880
1,6,2,17,9026,9808,10590,11038,10638,10398,10828,10589,10727
1,6,2,18,8057,9159,10260,10162,10265,10284,10137,11515,10504
1,6,2,19,7563,8537,9511,9446,9969,9778,9445,10990,11420
1,6,2,20,7968,8378,8788,9123,9138,9307,9318,11267,10966
