Census Division,Class,Vocational ?,Vintage,Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2,2,0,10,5,0,0,0,0,0,0,121,8177,9005,8080,11980,10438,21113
2,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,11,1,15211,18265,19792,18367,21110,12286,12968,3334,3829,9384,8481,7046,7721
2,2,0,11,2,48865,61540,56497,45990,54282,36496,40478,24355,12450,24774,24704,18999,18792
2,2,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,11,4,92,108,59,0,0,0,0,0,0,12,83,158,51
2,2,0,11,5,0,0,0,0,0,0,0,119,7778,8791,7827,11517,10210
2,2,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,12,1,14340,14880,17981,19349,17897,20430,12027,12498,3151,3705,9104,8330,6864
2,2,0,12,2,50083,47339,60113,55071,44921,52675,35389,39083,23112,12097,24304,23848,18623
2,2,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,12,4,25,65,75,55,0,0,0,0,0,0,13,63,151
2,2,0,12,5,0,0,0,0,0,0,0,0,121,7549,8615,7387,11177
2,2,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,13,1,11869,14145,14548,17558,18905,17372,19750,11764,11685,3067,3629,8799,8112
2,2,0,13,2,46092,48134,45813,57521,53644,43388,51068,34194,36777,22445,11763,23708,23172
2,2,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,13,4,83,23,37,62,50,0,0,0,0,0,0,8,68
2,2,0,13,5,0,0,0,0,0,0,0,0,0,118,7306,8074,7191
2,2,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,14,1,13811,11624,13950,14255,17135,18431,16847,19112,11062,11324,2945,3506,8499
2,2,0,14,2,42541,43890,46184,44020,54929,51769,41854,48852,31838,35611,21867,11384,22999
2,2,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,14,4,220,81,21,30,49,48,0,0,0,0,0,0,9
2,2,0,14,5,0,0,0,0,0,0,0,0,0,0,120,6779,7839
2,2,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,15,1,4090,13476,11378,13671,13961,16643,17956,16286,17798,10802,11009,2829,3302
2,2,0,15,2,27240,39661,41687,43979,42227,52466,49894,39853,44764,30436,34300,20690,10824
2,2,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,15,4,224,208,79,21,22,43,45,0,0,0,0,0,0
2,2,0,15,5,0,0,0,0,0,0,0,0,0,0,0,120,6464
2,2,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,16,1,11827,3906,13140,11075,13392,13575,16151,17272,15206,17297,10571,10538,2725
2,2,0,16,2,37088,25045,36780,39383,41774,40012,50003,47444,36345,42442,29215,32363,19658
2,2,0,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,16,4,107,212,195,63,20,21,37,40,0,0,0,0,0
2,2,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,115
2,2,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,17,1,7684,11500,3721,12698,10772,13007,13188,15616,16029,14682,16735,10255,10061
2,2,0,17,2,24190,33883,22850,34330,37078,39243,37796,46927,43106,34480,40035,26720,30394
2,2,0,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,0,17,4,57,100,199,178,46,21,19,28,34,0,0,0,0
2,2,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,18,1,6329,7417,11172,3552,12255,10445,12621,12710,14406,15570,14187,16025,9833
2,2,0,18,2,28193,21872,30678,21196,31880,34494,36712,35102,41903,40652,32615,36650,24853
2,2,0,18,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,0,18,4,13,50,93,161,160,42,21,17,24,28,0,0,0
2,2,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,19,1,4665,6010,7149,10830,3382,11790,10118,12207,11611,13815,15025,13502,15385
2,2,0,19,2,23310,24854,19554,28403,19541,29289,31910,33821,30205,38932,38169,29838,33616
2,2,0,19,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,0,19,4,54,13,42,68,122,149,38,16,16,22,28,0,0
2,2,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,20,1,4277,4395,5690,6854,10487,3167,11324,9745,10962,11231,13177,14214,12889
2,2,0,20,2,14449,20469,21515,18031,26128,17686,26697,28052,28474,27669,36213,34768,27372
2,2,0,20,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2,2,0,20,4,1,50,12,41,43,109,137,33,12,16,16,25,0
2,2,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,21,1,2751,3959,4124,5829,6559,10083,2951,10731,8549,10637,10793,12479,13333
2,2,0,21,2,12177,12556,17627,21919,16508,23906,15831,23731,22769,25870,25445,32797,31742
2,2,0,21,3,0,1,0,0,0,1,0,0,0,0,0,0,0
2,2,0,21,4,2,1,45,10,39,38,95,124,19,12,15,13,22
2,2,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,22,1,2274,2549,3640,3983,5968,6293,9678,2768,9467,8194,10222,10168,11739
2,2,0,22,2,9850,10645,10663,16458,22322,15016,21683,14213,19112,21031,23713,22499,29701
2,2,0,22,3,0,0,1,0,0,0,1,0,0,0,0,0,0
2,2,0,22,4,0,2,1,45,8,34,32,84,112,21,11,14,13
2,2,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,23,1,2148,2112,2347,3519,3842,5712,6027,9150,2379,9010,7807,9655,9519
