YEAR,ICD_19,ICL_19,IGP_19,ILDV_19,IOWN_19,SALES_19 (millions)
2019,2,6,9,1,2,8.20E-06
2019,2,6,9,1,3,1.02E-06
2019,2,6,9,1,1,0.006872944
2019,2,6,11,1,2,8.28E-05
2019,2,6,11,1,3,5.04E-06
2019,2,6,11,1,1,0.013579502
2019,2,7,6,1,2,0.000932307
2019,2,7,6,1,3,0.000114494
2019,2,7,6,1,1,0.092317705
2019,2,7,7,1,2,0.000286008
2019,2,7,7,1,3,0.000265306
2019,2,7,7,1,1,0.040342843
2019,2,7,8,2,1,0.000110646
2019,2,7,8,2,4,6.10E-05
2019,2,7,8,1,2,0.00063681
2019,2,7,8,1,3,0.000229153
2019,2,7,8,1,1,0.081976428
2019,2,7,9,16,2,1.01E-06
2019,2,7,9,16,3,7.39E-05
2019,2,7,9,16,1,0.011325242
2019,2,7,9,5,3,7.04E-06
2019,2,7,9,5,1,0.000470773
2019,2,7,9,5,4,3.92E-05
2019,2,7,9,2,1,6.17E-05
2019,2,7,9,2,4,6.50E-06
2019,2,7,9,1,2,0.002031244
2019,2,7,9,1,3,7.62E-05
2019,2,7,9,1,1,0.326072553
2019,2,7,10,3,1,0.001608166
2019,2,7,10,1,3,1.02E-06
2019,2,7,10,1,1,0.008726547
2019,2,7,11,1,2,6.87E-06
2019,2,7,11,1,1,0.004987838
2019,2,7,1,7,2,2.05E-06
2019,2,7,1,7,3,9.88E-05
2019,2,7,1,7,1,0.00067017
2019,2,7,1,7,4,8.97E-05
2019,2,7,1,15,3,5.22E-06
2019,2,7,1,15,1,0.000137847
2019,2,7,1,15,4,7.31E-06
2019,2,7,1,3,2,7.94E-07
2019,2,7,1,3,3,9.53E-06
2019,2,7,1,3,1,0.000844467
2019,2,7,1,16,2,1.34E-05
2019,2,7,1,16,1,0.002280394
2019,2,7,1,5,3,1.03E-05
2019,2,7,1,5,1,0.00048456
2019,2,7,1,5,4,7.72E-05
2019,2,7,1,2,1,1.49E-05
2019,2,7,1,2,4,6.31E-06
2019,2,7,1,1,2,0.001446695
2019,2,7,1,1,3,6.91E-05
2019,2,7,1,1,1,0.103183776
2019,2,7,2,1,2,0.000301596
2019,2,7,2,1,3,3.09E-06
2019,2,7,2,1,1,0.049956989
2019,2,7,3,1,2,2.07E-06
2019,2,7,3,1,1,0.002872851
2019,2,7,4,7,1,0.000616765
2019,2,7,4,7,4,7.44E-05
2019,2,7,4,15,1,0.000570184
2019,2,7,4,15,4,2.30E-05
2019,2,7,4,1,1,0.002432677
2019,2,8,6,3,2,4.18E-06
2019,2,8,6,3,3,2.09E-06
2019,2,8,6,3,1,0.000225895
2019,2,8,6,1,2,0.001283632
2019,2,8,6,1,3,0.000371747
2019,2,8,6,1,1,0.053362652
2019,2,8,7,3,2,0.000171775
2019,2,8,7,3,3,8.06E-05
2019,2,8,7,3,1,0.004891612
2019,2,8,7,1,2,0.000292486
2019,2,8,7,1,3,0.000863298
2019,2,8,7,1,1,0.0230228
2019,2,8,8,1,2,0.000178151
2019,2,8,8,1,3,5.51E-05
2019,2,8,8,1,1,0.041969876
2019,2,8,9,16,2,2.03E-06
2019,2,8,9,16,3,1.34E-05
2019,2,8,9,16,1,0.003572451
2019,2,8,9,1,2,0.00067832
2019,2,8,9,1,3,4.79E-05
2019,2,8,9,1,1,0.142663004
2019,2,8,10,1,2,0.000256569
2019,2,8,10,1,1,0.052161986
2019,2,8,11,7,1,0.000947363
2019,2,8,11,7,4,0.000108156
2019,2,8,11,15,1,0.000258165
2019,2,8,11,15,4,2.99E-05
2019,2,8,11,16,1,0.00042611
2019,2,8,11,5,3,9.72E-07
2019,2,8,11,5,1,0.001071134
2019,2,8,11,5,4,6.74E-05
2019,2,8,11,2,1,0.000245825
2019,2,8,11,2,4,3.39E-05
2019,2,8,11,1,2,0.00032744
2019,2,8,11,1,3,0.000131115
2019,2,8,11,1,1,0.144668164
2019,2,8,1,1,2,0.000816147
2019,2,8,1,1,3,1.47E-05
2019,2,8,1,1,1,0.024384896
2019,2,8,2,1,2,2.93E-05
2019,2,8,2,1,1,0.000500261
2019,2,8,3,1,2,2.93E-05
2019,2,8,3,1,1,0.000222027
2019,2,8,4,14,1,1.04E-06
2019,2,8,4,14,4,1.04E-06
2019,2,8,4,16,1,0.000261193
2019,2,8,4,1,2,1.01E-06
2019,2,8,4,1,3,5.53E-06
2019,2,8,4,1,1,0.003094568
2019,2,8,5,7,1,0.000103043
2019,2,8,5,7,4,1.68E-05
2019,2,8,5,15,1,0.000651948
2019,2,8,5,15,4,7.55E-05
2019,2,8,5,1,1,7.00E-05
2019,3,1,2,1,1,0.000337421
2019,3,1,3,4,1,1.02E-06
2019,3,1,3,4,4,2.04E-06
2019,3,1,3,1,2,1.03E-06
2019,3,1,3,1,3,6.28E-06
2019,3,1,3,1,1,0.00066953
2019,3,1,5,1,1,0.000575303
2019,3,1,8,2,1,0.000254834
2019,3,1,8,2,4,4.20E-05
2019,3,1,8,1,2,0.000124755
2019,3,1,8,1,3,0.000127422
2019,3,1,8,1,1,0.022293059
2019,3,1,9,3,2,0.000113196
2019,3,1,9,3,3,7.14E-07
2019,3,1,9,3,1,0.000706028
