class,ifuel,iage,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,30,7.461758765,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155,9.986666823
1,1,31,7.387141178,7.461758765,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153,9.886800155
1,1,32,7.313269766,7.387141178,7.461758765,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832,9.787932153
1,1,33,7.240137068,7.313269766,7.387141178,7.461758765,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303,9.690052832
1,1,34,7.167735698,7.240137068,7.313269766,7.387141178,7.461758765,7.537130066,7.613262693,7.690164336,7.767842764,7.846305822,7.925561437,8.005617613,8.086482437,8.168164078,8.250670786,8.334010895,8.418192823,8.503225074,8.589116236,8.675874986,8.763510087,8.852030391,8.941444839,9.031762464,9.122992388,9.215143826,9.308226087,9.402248572,9.49722078,9.593152303
1,2,1,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634,12.11273741,12.93261054,12.96569166,12.96569166,12.96569166
1,2,2,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634,12.11273741,12.93261054,12.96569166,12.96569166
1,2,3,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634,12.11273741,12.93261054,12.96569166
1,2,4,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634,12.11273741,12.93261054
1,2,5,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746,10.42046832,10.70225941,11.21114665,11.40817839,10.70373933,10.08499864,9.90397715,10.29067353,10.65333749,11.34607634,12.11273741
