Class,Powertrain,Vintage,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 
1,6,33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,34 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1 ,37845 ,37290 ,48857 ,35917 ,110171 ,85432 ,107241 ,90949 ,97025 ,96245 ,144577 ,181585 ,126920 ,149246 ,45781 ,43336 ,121562
2,1,2 ,33089 ,37845 ,37290 ,48857 ,35917 ,110171 ,85432 ,107241 ,90949 ,97025 ,96245 ,144577 ,181585 ,126920 ,149246 ,45781 ,43336
2,1,3 ,26571 ,33089 ,37845 ,37290 ,48857 ,35917 ,110171 ,85432 ,107241 ,90949 ,97025 ,96245 ,144577 ,181585 ,126920 ,149246 ,45781
2,1,4 ,20877 ,26571 ,33089 ,37845 ,37290 ,48857 ,35917 ,110171 ,85432 ,107241 ,90949 ,97025 ,96245 ,144577 ,181585 ,126920 ,149246
2,1,5 ,18333 ,20835 ,26517 ,33022 ,37768 ,37215 ,48759 ,35844 ,109949 ,85259 ,107024 ,90765 ,96830 ,96051 ,144285 ,181218 ,126664
2,1,6 ,25654 ,18264 ,20756 ,26417 ,32897 ,37626 ,37075 ,48575 ,35709 ,109534 ,84938 ,106621 ,90423 ,96465 ,95689 ,143741 ,180535
2,1,7 ,19426 ,25521 ,18169 ,20649 ,26281 ,32727 ,37431 ,36883 ,48324 ,35525 ,108968 ,84499 ,106070 ,89956 ,95966 ,95194 ,142998
2,1,8 ,11450 ,19295 ,25349 ,18047 ,20509 ,26103 ,32507 ,37179 ,36634 ,47998 ,35285 ,108233 ,83929 ,105354 ,89349 ,95318 ,94552
2,1,9 ,10585 ,11352 ,19130 ,25133 ,17893 ,20334 ,25880 ,32229 ,36862 ,36322 ,47588 ,34984 ,107309 ,83213 ,104455 ,88587 ,94505
2,1,10 ,10521 ,10474 ,11232 ,18928 ,24868 ,17704 ,20120 ,25608 ,31889 ,36473 ,35939 ,47087 ,34615 ,106178 ,82335 ,103354 ,87653
2,1,11 ,4304 ,10387 ,10340 ,11089 ,18686 ,24550 ,17478 ,19863 ,25280 ,31482 ,36007 ,35479 ,46485 ,34172 ,104820 ,81283 ,102032
2,1,12 ,3143 ,4238 ,10228 ,10182 ,10919 ,18401 ,24175 ,17211 ,19560 ,24894 ,31001 ,35457 ,34938 ,45775 ,33651 ,103221 ,80042
2,1,13 ,2508 ,3087 ,4162 ,10045 ,9999 ,10723 ,18071 ,23741 ,16902 ,19209 ,24447 ,30445 ,34820 ,34310 ,44953 ,33047 ,101367
2,1,14 ,1279 ,2456 ,3023 ,4075 ,9836 ,9791 ,10500 ,17695 ,23247 ,16550 ,18809 ,23939 ,29811 ,34096 ,33596 ,44018 ,32359
2,1,15 ,11 ,1249 ,2397 ,2951 ,3978 ,9602 ,9559 ,10251 ,17274 ,22695 ,16157 ,18362 ,23370 ,29103 ,33286 ,32798 ,42972
2,1,16 ,574 ,11 ,1215 ,2333 ,2872 ,3872 ,9345 ,9303 ,9977 ,16812 ,22088 ,15725 ,17871 ,22745 ,28325 ,32396 ,31921
2,1,17 ,3498 ,556 ,10 ,1179 ,2264 ,2787 ,3757 ,9068 ,9028 ,9681 ,16315 ,21434 ,15259 ,17342 ,22072 ,27486 ,31436
2,1,18 ,4243 ,3377 ,537 ,10 ,1141 ,2191 ,2697 ,3636 ,8775 ,8736 ,9369 ,15788 ,20742 ,14766 ,16782 ,21359 ,26598
