Notes,,,,,,,,,,,,,,,,,
facility_id,facility_name,ccs_retrofit_eligible,rep_facility,existing_45q,existing_ntc,retrofit_status,years_operating,ng_thruput_mmcf,vintage,state,census_division,avg_co2tputrat_cdvn,med_co2tputrat_cdvn,co2_capture_mmcf,co2_capture_tonnes,throughput_tons,45q_eligible
1010234,LOGANSPORT EXPANSION GATHERING FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,167929.9319,post,LA,7,0.04069,0.01402,2354.87885,43875.8,3448961.428,TRUE
1010300,WIGGINS FACILITY,TRUE,FALSE,FALSE,FALSE,FALSE,0,162510.7261,post,LA,7,0.04069,0.01402,2278.88541,42459.9,3337661.247,TRUE
1013901,HORSESHOE TREATER,TRUE,FALSE,FALSE,FALSE,FALSE,0,161476.1818,post,TX,7,0.04069,0.01402,2264.37802,42189.6,3316413.674,TRUE
1010353,APPLEBY TREATER,TRUE,FALSE,FALSE,FALSE,FALSE,0,154429.9512,post,TX,7,0.04069,0.01402,2165.56883,40348.6,3171697.498,TRUE
1010118,EAGLE-1 GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,39088,post,TX,7,0.04069,0.01402,2150.94336,40076.1,802793.1814,TRUE
1009774,"KH PLANTATION CENTRAL GAS TREATING FACILITY COUSHATTA, LA",TRUE,FALSE,FALSE,FALSE,FALSE,0,153025.2979,post,LA,7,0.04069,0.01402,2145.8714,39981.6,3142848.592,TRUE
1010120,BRASADA GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,71034,post,TX,7,0.04069,0.01402,2046.03709,38121.5,1458903.266,TRUE
1013932,MENTONE GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,139858.6831,post,TX,7,0.04069,0.01402,1961.23616,36541.5,2872431.364,TRUE
1012151,MT. OLIVE GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,138201.4219,post,LA,7,0.04069,0.01402,1937.99642,36108.5,2838394.371,TRUE
1010643,WOODSBORO PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,63984.925,post,TX,7,0.04069,0.01402,1917.39194,35724.6,1314128.671,TRUE
1011948,DUBBERLY REFRIGERATION PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,9869,post,LA,7,0.04069,0.01402,1901.85941,35435.2,202690.4909,TRUE
1012200,KINDERHAWK FIELD SERVICES LLC 230 ARKLA BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,135078.6519,post,TX,7,0.04069,0.01402,1894.20586,35292.6,2774258.614,TRUE
1010358,TENAHA PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,130726.906,post,TX,7,0.04069,0.01402,1833.18139,34155.6,2684882.03,TRUE
1013722,PONDEROSA GATHERING LLC,TRUE,FALSE,FALSE,FALSE,FALSE,0,127361.8621,post,TX,7,0.04069,0.01402,1785.99343,33276.4,2615770.426,TRUE
1013724,SCM PECOS GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,126615.5204,post,TX,7,0.04069,0.01402,1775.5275,33081.4,2600441.988,TRUE
1013745,"GEMINI ARKLATEX, LLC",TRUE,FALSE,FALSE,FALSE,FALSE,0,126015.3852,post,TX,7,0.04069,0.01402,1767.11181,32924.6,2588116.352,TRUE
1009776,"KH PLANTATION WEST GAS TREATING FACILITY COUSHATTA, LA",TRUE,FALSE,FALSE,FALSE,FALSE,0,123490.454,post,LA,7,0.04069,0.01402,1731.70474,32264.9,2536259.067,TRUE
1004144,XTO - NEW TEAGUE PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,123023.8948,post,TX,7,0.04069,0.01402,1725.16219,32143,2526676.828,TRUE
1013919,LATHAM GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,26240.38692,post,CO,8,0.05746,0.06545,1717.49253,32000.1,538927.6427,TRUE
