"note:100% cf, tons per year",,,,,,,CAPEX,,,,,,INCREMENTAL OPEX,,,,,,PARASITIC LOAD,,,,REPORTING METRICS,,,,,
facility_id,facility_name,state,co2_capture_tons,ng_thruput_tons,dry_cooling_systempref,ccs_retrofit_applicable,compressors_mm2018$,after_cooler_mm2018$,cool_water_sys_mm2018$,plant_balance_mm2018$,tpc_mm2018$,total_cap_mm2018$,fixed_labor_mm2018$,fixed_taxinsur_mm2018$,fixed_omcost_mm2018$,variable_chemwaste_mm2018$,variable_maintenance_mm2018$,total_om_cost_mm2018$,cool_systemload_MW,CCSretfit_Elec_LoadMW,misc_parasitic_loadMW,tot_parasitic_retfitloadMW,power_cost_mm2018$,tot_incremental_costmm2018$,co2_ts_$ton,tot_increment_cop$ton,cost_co2_capture$tonne,cost_co2_avoid$Tonne
1012495,420 FORT WORTH SYNCLINE,TX,10327.00563,736434.2112,Y,TRUE,2.025340665,0.010375231,0.200079854,1.0386039,3.274399651,3.978877033,0.06463175,0.065489957,0.130121706,0.032787025,0.036982577,0.042603874,0.00291407,0.086730244,0,0.089644313,0.02531817,0.438636889,0.127214528,1.102627098,76.67462088,86.67462088
1012558,KINDER MORGAN PRODUCTION 430 PERMIAN BASIN GB,TX,10357.97436,738642.6381,Y,TRUE,2.029043406,0.010397001,0.200499667,1.040783124,3.280723197,3.986561072,0.064756567,0.065616431,0.130372998,0.032850343,0.037053998,0.042686151,0.002922808,0.086990331,0,0.08991314,0.025394094,0.439511018,0.127214528,1.101648786,76.59771831,86.59771831
1012984,"SOUTHERN ENERGY OPERATING, LLC MIDGULF COAST BASIN",MS,10504.45292,749088.2434,N,TRUE,2.046498771,0.010499705,0.09203648,1.051064255,3.200099212,3.888591074,0.06316517,0.064003903,0.127169074,0.032043044,0.036143394,0.041637136,0.001600006,0.088220516,0,0.089820522,0.026895963,0.430835936,0.127214528,1.069095645,74.03880142,84.03880142
1003767,Sand Hills Gas Plant,TX,10819.39,737187.9598,Y,TRUE,2.124758955,0.010961751,0.211390521,1.097316972,3.444428199,4.18548672,0.064756567,0.065616431,0.130372998,0.032850343,0.037053998,0.042686151,0.002922808,0.086990331,0,0.08991314,0.025394094,0.439511018,0.127214528,1.101648786,76.59771831,86.59771831
1011538,REDTAIL GAS PLANT,CO,11170.99268,305846.0815,Y,TRUE,2.124758955,0.010961751,0.211390521,1.097316972,3.444428199,4.18548672,0.067987859,0.06889063,0.136878488,0.034489544,0.038902958,0.04481615,0.003152225,0.093818378,0,0.096970604,0.03883268,0.473613648,0.331348569,2.867285444,76.53381105,86.53381105
1011986,STERLING ENERGY INVESTMENTS LLC CENTENNIAL GAS PLANT,CO,11322.63269,167431.0816,Y,TRUE,2.142306552,0.0110657,0.213395111,1.107722693,3.474490056,4.222016296,0.068581235,0.069491885,0.13807312,0.034790558,0.03924249,0.045207291,0.003195015,0.09509191,0,0.098286926,0.039359812,0.477935408,0.613490143,5.288152785,76.19784439,86.19784439
1007489,PITTSBURG GAS PLANT,TX,11415.71688,814071.8389,Y,TRUE,2.15303275,0.011129302,0.214621638,1.114089528,3.492873218,4.244354541,0.068944091,0.069859559,0.13880365,0.034974631,0.039450118,0.045446478,0.003221282,0.095873668,0,0.09909495,0.027987306,0.468883359,0.127214528,1.070448076,74.14511249,84.14511249
1013701,SANTA FE 430 30-30 GAS PLANT GB,TX,11527.66709,822055.1751,Y,TRUE,2.165887825,0.011205589,0.216092787,1.121726184,3.514912385,4.27113537,0.069379111,0.070300356,0.139679467,0.035195313,0.039699039,0.045733234,0.003252872,0.09681387,0,0.100066741,0.028261768,0.471939767,0.127214528,1.067376664,73.90367685,83.90367685
1010732,CHISHOLM PLANT,TX,12065.70438,1086859.517,Y,TRUE,2.22700312,0.01156918,0.223104407,1.158123131,3.619799838,4.398589047,0.071449433,0.072398168,0.1438476,0.036245565,0.040883686,0.047097946,0.003404695,0.101332518,0,0.104737213,0.029580845,0.486498507,0.100710678,0.833746588,72.78631446,82.78631446
1012351,CALIFORNIA RESOURCES PRODUCTION CORPORATION- VENTURA BASIN GATHERING AND BOOSTING,CA,12252.58469,873750.133,Y,TRUE,2.247980788,0.011694324,0.22551772,1.170650509,3.65584334,4.442387202,0.072160877,0.073119059,0.145279937,0.036606474,0.041290778,0.047566915,0.003457429,0.102902012,0,0.106359441,0.086748354,0.548215691,0.127214528,1.154713409,80.76898904,90.76898904
