Composite table:
    datamon            reg           HistoricalSpotPrice
!   -----------------  ----------    -------------------
    'June, 2013'       NH-CN_E                     4.231
    'June, 2013'       VT-CN_E                     4.231
    'June, 2013'       NY-CN_E                     4.231
    'June, 2013'       MI-CN_E                     4.092
    'June, 2013'       MN-CN_W                     3.769
    'June, 2013'       ND-CN_W                     3.336
    'June, 2013'       MT-CN_W                     3.336
    'June, 2013'       ID-CN_W                     3.542
    'June, 2013'       WA-CN_W                     3.583
    'June, 2013'       TX_W-MX_NE                  3.743
    'June, 2013'       AZ-MX_NW                    3.887
    'June, 2013'       CA-MX_NW                    4.016
    'June, 2013'       TX_E-MX_NE                  3.749
    'June, 2013'       CN_E                        4.197
    'June, 2013'       CN_W                        3.155
    'June, 2013'       TX_1                        3.767
    'June, 2013'       TX_2                        3.779
    'June, 2013'       TX_3                        3.809
    'June, 2013'       TX_4                        3.749
    'June, 2013'       TX_5                        3.769
    'June, 2013'       TX_6                        3.769
    'June, 2013'       TX_7B                       3.774
    'June, 2013'       TX_7C                       3.774
    'June, 2013'       TX_8                        3.743
    'June, 2013'       TX_8A                       3.743
    'June, 2013'       TX_9                        3.756
    'June, 2013'       TX_10                       3.743
    'June, 2013'       NM_E                        3.672
    'June, 2013'       NM_W                        3.666
    'June, 2013'       LA_N                        3.781
    'June, 2013'       LA_S                        3.848
    'June, 2013'       AL_N                        3.846
    'June, 2013'       AL_S                        3.986
    'June, 2013'       MS_N                        3.794
    'June, 2013'       MS_S                        3.986
    'June, 2013'       MA_ST                       4.280
    'June, 2013'       VA_ST                       3.786
    'June, 2013'       GA_ST                       3.926
    'June, 2013'       AL_ST                       3.986
    'June, 2013'       LA_ST                       3.848
    'June, 2013'       TX_ST                       3.779
    'June, 2013'       CA_ST                       4.016
    'June, 2013'       OR_ST                       3.640
    'June, 2013'       MA_FD                       4.280
    'June, 2013'       VA_FD                       3.786
    'June, 2013'       GA_FD                       3.926
    'June, 2013'       AL_FD                       3.986
    'June, 2013'       LA_FD                       3.848
    'June, 2013'       TX_FD                       3.779
    'June, 2013'       CA_FD                       4.016
    'June, 2013'       OR_FD                       3.640
    'July, 2013'       AL                          3.678
    'July, 2013'       AZ                          3.709
    'July, 2013'       AR                          3.575
    'July, 2013'       CA                          3.857
    'July, 2013'       CO                          3.440
    'July, 2013'       CT                          4.595
    'July, 2013'       DC                          3.682
    'July, 2013'       DE                          3.744
    'July, 2013'       FL                          3.885
    'July, 2013'       GA                          3.701
    'July, 2013'       ID                          3.379
    'July, 2013'       IL                          3.708
    'July, 2013'       IN                          3.743
    'July, 2013'       IA                          3.676
    'July, 2013'       KS                          3.503
    'July, 2013'       KY                          3.620
    'July, 2013'       LA                          3.600
    'July, 2013'       ME                          4.659
    'July, 2013'       MD                          3.682
    'July, 2013'       MA                          4.562
    'July, 2013'       MI                          3.850
    'July, 2013'       MN                          3.745
    'July, 2013'       MS                          3.622
    'July, 2013'       MO                          3.597
    'July, 2013'       MT                          3.168
    'July, 2013'       NE                          3.530
    'July, 2013'       NV                          3.576
    'July, 2013'       NH                          4.438
    'July, 2013'       NJ                          3.682
    'July, 2013'       NM                          3.510
    'July, 2013'       NY                          4.120
    'July, 2013'       NC                          3.682
    'July, 2013'       ND                          3.659
    'July, 2013'       OH                          3.643
    'July, 2013'       OK                          3.500
    'July, 2013'       OR                          3.480
    'July, 2013'       PA                          3.098
    'July, 2013'       RI                          4.691
    'July, 2013'       SC                          3.682
    'July, 2013'       SD                          3.659
    'July, 2013'       TN                          3.575
    'July, 2013'       TX                          3.569
    'July, 2013'       UT                          3.423
    'July, 2013'       VT                          4.356
    'July, 2013'       VA                          3.518
    'July, 2013'       WA                          3.370
    'July, 2013'       WV                          3.453
    'July, 2013'       WI                          3.835
    'July, 2013'       WY                          3.469
    'July, 2013'       TX_W                        3.552
    'July, 2013'       TX_N                        3.549
    'July, 2013'       TX_E                        3.605
    'July, 2013'       NH-CN_E                     4.356
    'July, 2013'       VT-CN_E                     4.356
    'July, 2013'       NY-CN_E                     4.356
    'July, 2013'       MI-CN_E                     3.985
    'July, 2013'       MN-CN_W                     3.847
    'July, 2013'       ND-CN_W                     2.956
    'July, 2013'       MT-CN_W                     2.956
    'July, 2013'       ID-CN_W                     3.304
    'July, 2013'       WA-CN_W                     3.380
    'July, 2013'       TX_W-MX_NE                  3.552
    'July, 2013'       AZ-MX_NW                    3.854
    'July, 2013'       CA-MX_NW                    3.883
    'July, 2013'       TX_E-MX_NE                  3.533
    'July, 2013'       CN_E                        4.238
    'July, 2013'       CN_W                        2.654
    'July, 2013'       TX_1                        3.563
    'July, 2013'       TX_2                        3.569
    'July, 2013'       TX_3                        3.605
    'July, 2013'       TX_4                        3.533
    'July, 2013'       TX_5                        3.549
    'July, 2013'       TX_6                        3.549
    'July, 2013'       TX_7B                       3.569
    'July, 2013'       TX_7C                       3.569
    'July, 2013'       TX_8                        3.552
    'July, 2013'       TX_8A                       3.552
    'July, 2013'       TX_9                        3.551
    'July, 2013'       TX_10                       3.552
    'July, 2013'       NM_E                        3.523
    'July, 2013'       NM_W                        3.507
    'July, 2013'       LA_N                        3.573
    'July, 2013'       LA_S                        3.627
    'July, 2013'       AL_N                        3.616
    'July, 2013'       AL_S                        3.739
    'July, 2013'       MS_N                        3.563
    'July, 2013'       MS_S                        3.739
