Composite table:
    qph         qph1        pqtype  step     VariableTariffCurve
    KY          IN          p       step5              4.000e-01
    KY          OH          q       step2              4.000e-01
    KY          OH          q       step3              6.500e-01
    KY          OH          q       step4              1.000e+00
    KY          OH          q       step5              1.400e+00
    KY          OH          p       step1             -3.088e-02
    KY          OH          p       step2             -8.847e-04
    KY          OH          p       step3              1.912e-02
    KY          OH          p       step4              6.912e-02
    KY          OH          p       step5              8.000e-01
    KY          TN          q       step2              6.000e-01
    KY          TN          q       step3              9.000e-01
    KY          TN          q       step4              1.000e+00
    KY          TN          q       step5              1.400e+00
    KY          TN          p       step1              1.333e-02
    KY          TN          p       step2              6.333e-02
    KY          TN          p       step3              1.133e-01
    KY          TN          p       step4              2.133e-01
    KY          TN          p       step5              1.500e+00
    KY          VA          q       step2              6.000e-01
    KY          VA          q       step3              8.000e-01
    KY          VA          q       step4              1.000e+00
    KY          VA          q       step5              1.400e+00
    KY          VA          p       step1              3.575e-02
    KY          VA          p       step2              8.575e-02
    KY          VA          p       step3              3.357e-01
    KY          VA          p       step4              6.357e-01
    KY          VA          p       step5              1.200e+00
    KY          WV          q       step2              5.000e-01
    KY          WV          q       step3              8.000e-01
    KY          WV          q       step4              1.000e+00
    KY          WV          q       step5              1.400e+00
    KY          WV          p       step1              1.878e-02
    KY          WV          p       step2              4.878e-02
    KY          WV          p       step3              6.878e-02
    KY          WV          p       step4              1.188e-01
    KY          WV          p       step5              8.000e-01
    LA          AR          q       step2              6.000e-01
    LA          AR          q       step3              8.000e-01
    LA          AR          q       step4              1.000e+00
    LA          AR          q       step5              1.400e+00
    LA          AR          p       step1             -5.637e-02
    LA          AR          p       step2             -3.637e-02
    LA          AR          p       step3              9.363e-02
    LA          AR          p       step4              4.436e-01
    LA          AR          p       step5              1.000e+00
    LA          MS          q       step2              4.000e-01
    LA          MS          q       step3              6.000e-01
    LA          MS          q       step4              1.000e+00
    LA          MS          q       step5              1.400e+00
    LA          MS          p       step1             -2.154e-02
    LA          MS          p       step2             -1.536e-03
    LA          MS          p       step3              2.846e-02
    LA          MS          p       step4              7.846e-02
    LA          MS          p       step5              2.000e-01
    LA          TX_E        q       step2              6.000e-01
    LA          TX_E        q       step3              8.000e-01
    LA          TX_E        q       step4              1.000e+00
    LA          TX_E        q       step5              1.400e+00
    LA          TX_E        p       step1             -4.472e-02
    LA          TX_E        p       step2             -3.472e-02
    LA          TX_E        p       step3             -2.472e-02
    LA          TX_E        p       step4              5.277e-03
    LA          TX_E        p       step5              2.500e-01
    ME          NH          q       step2              5.000e-01
    ME          NH          q       step3              8.000e-01
    ME          NH          q       step4              1.000e+00
    ME          NH          q       step5              1.400e+00
    ME          NH          p       step1             -7.512e-02
    ME          NH          p       step2             -4.512e-02
    ME          NH          p       step3              4.249e-01
    ME          NH          p       step4              9.249e-01
    ME          NH          p       step5              2.000e+00
    ME          ME-CN_E     q       step2              6.000e-01
    ME          ME-CN_E     q       step3              8.000e-01
    ME          ME-CN_E     q       step4              1.000e+00
    ME          ME-CN_E     q       step5              1.200e+00
    ME          ME-CN_E     p       step1              2.288e+00
    ME          ME-CN_E     p       step2              2.338e+00
    ME          ME-CN_E     p       step3              2.538e+00
    ME          ME-CN_E     p       step4              2.788e+00
    ME          ME-CN_E     p       step5              1.500e+00
    MD          DC          q       step2              6.000e-01
    MD          DC          q       step3              8.000e-01
    MD          DC          q       step4              1.000e+00
    MD          DC          q       step5              1.400e+00
    MD          DC          p       step1             -1.365e-01
    MD          DC          p       step2             -1.265e-01
    MD          DC          p       step3             -7.650e-02
    MD          DC          p       step4             -1.650e-02
    MD          DC          p       step5              2.400e-01
    MD          DE          q       step2              4.000e-01
    MD          DE          q       step3              7.000e-01
    MD          DE          q       step4              1.000e+00
    MD          DE          q       step5              1.400e+00
    MD          DE          p       step2              5.000e-02
    MD          DE          p       step3              2.500e-01
    MD          DE          p       step4              5.000e-01
    MD          DE          p       step5              1.000e+00
    MD          PA          q       step2              4.000e-01
    MD          PA          q       step3              8.000e-01
    MD          PA          q       step4              1.000e+00
    MD          PA          q       step5              1.400e+00
    MD          PA          p       step1             -4.482e-02
    MD          PA          p       step2              5.518e-02
    MD          PA          p       step3              1.552e-01
    MD          PA          p       step4              9.552e-01
    MD          PA          p       step5              2.000e+00
    MD          VA          q       step2              6.000e-01
    MD          VA          q       step3              8.000e-01
    MD          VA          q       step4              1.000e+00
    MD          VA          q       step5              1.400e+00
    MD          VA          p       step1             -6.460e-02
    MD          VA          p       step2             -3.460e-02
    MD          VA          p       step3             -1.460e-02
    MD          VA          p       step4              3.540e-02
    MD          VA          p       step5              2.000e-01
    MD          WV          q       step2              4.000e-01
    MD          WV          q       step3              8.000e-01
    MD          WV          q       step4              1.000e+00
    MD          WV          q       step5              1.400e+00
    MD          WV          p       step2              3.000e-02
    MD          WV          p       step3              5.000e-01
    MD          WV          p       step4              1.000e+00
    MD          WV          p       step5              2.000e+00
    MA          CT          q       step2              4.000e-01
    MA          CT          q       step3              8.000e-01
    MA          CT          q       step4              1.000e+00
    MA          CT          q       step5              1.400e+00
    MA          CT          p       step2              1.000e-01
    MA          CT          p       step3              2.000e-01
    MA          CT          p       step4              4.000e-01
    MA          CT          p       step5              8.000e-01
    MA          NH          q       step2              4.000e-01
    MA          NH          q       step3              6.000e-01
    MA          NH          q       step4              1.000e+00
    MA          NH          q       step5              1.400e+00
    MA          NH          p       step1             -1.669e-01
    MA          NH          p       step2             -1.693e-02
    MA          NH          p       step3              8.307e-02
    MA          NH          p       step4              3.331e-01
    MA          NH          p       step5              1.000e+00
    MA          RI          q       step2              5.000e-01
    MA          RI          q       step3              8.000e-01
    MA          RI          q       step4              1.000e+00
    MA          RI          q       step5              1.400e+00
    MA          RI          p       step1              4.922e-02
    MA          RI          p       step2              6.922e-02
    MA          RI          p       step3              2.492e-01
    MA          RI          p       step4              4.492e-01
    MA          RI          p       step5              8.000e-01
    MI          IN          q       step2              4.000e-01
    MI          IN          q       step3              6.500e-01
    MI          IN          q       step4              1.000e+00
    MI          IN          q       step5              1.400e+00
    MI          IN          p       step1             -8.706e-03
    MI          IN          p       step2              4.129e-02
    MI          IN          p       step3              9.129e-02
    MI          IN          p       step4              1.913e-01
    MI          IN          p       step5              4.000e-01
    MI          OH          q       step2              5.000e-01
    MI          OH          q       step3              7.000e-01
    MI          OH          q       step4              1.000e+00
    MI          OH          q       step5              1.400e+00
    MI          OH          p       step1             -2.529e-01
    MI          OH          p       step2             -1.529e-01
    MI          OH          p       step3              4.712e-02
    MI          OH          p       step4              3.471e-01
    MI          OH          p       step5              1.200e+00
    MI          WI          q       step2              7.000e-01
    MI          WI          q       step3              9.000e-01
    MI          WI          q       step4              1.000e+00
    MI          WI          q       step5              1.400e+00
    MI          WI          p       step1             -1.857e-02
    MI          WI          p       step2              2.143e-02
    MI          WI          p       step3              1.314e-01
    MI          WI          p       step4              3.814e-01
    MI          WI          p       step5              8.000e-01
    MI          MI-CN_E     q       step2              2.000e-01
    MI          MI-CN_E     q       step3              8.000e-01
    MI          MI-CN_E     q       step4              1.000e+00
    MI          MI-CN_E     q       step5              1.400e+00
    MI          MI-CN_E     p       step1              1.031e+00
    MI          MI-CN_E     p       step2              1.111e+00
    MI          MI-CN_E     p       step3              1.131e+00
    MI          MI-CN_E     p       step4              1.281e+00
    MI          MI-CN_E     p       step5              5.000e-01
    MN          IA          q       step2              7.000e-01
    MN          IA          q       step3              9.000e-01
    MN          IA          q       step4              1.000e+00
    MN          IA          q       step5              1.400e+00
    MN          IA          p       step1              1.472e-02
    MN          IA          p       step2              2.472e-02
    MN          IA          p       step3              4.472e-02
    MN          IA          p       step4              7.472e-02
    MN          IA          p       step5              1.200e-01
    MN          ND          q       step2              7.000e-01
    MN          ND          q       step3              9.000e-01
    MN          ND          q       step4              1.000e+00
    MN          ND          q       step5              1.400e+00
    MN          ND          p       step1              1.020e-02
    MN          ND          p       step2              3.020e-02
    MN          ND          p       step3              5.020e-02
    MN          ND          p       step4              6.020e-02
    MN          ND          p       step5              1.000e-01
    MN          WI          q       step2              1.000e-01
    MN          WI          q       step3              2.000e-01
    MN          WI          q       step4              1.000e+00
    MN          WI          q       step5              1.400e+00
    MN          WI          p       step1             -3.240e-01
    MN          WI          p       step2             -2.740e-01
    MN          WI          p       step3             -2.240e-01
    MN          WI          p       step4              6.760e-01
    MN          WI          p       step5              2.000e+00
    MN          MN-CN_W     q       step2              7.000e-01
    MN          MN-CN_W     q       step3              8.500e-01
    MN          MN-CN_W     q       step4              1.000e+00
    MN          MN-CN_W     q       step5              1.400e+00
    MN          MN-CN_W     p       step1             -2.255e-02
    MN          MN-CN_W     p       step2              7.448e-03
    MN          MN-CN_W     p       step3              7.745e-02
    MN          MN-CN_W     p       step4              1.774e-01
    MN          MN-CN_W     p       step5              4.000e-01
    MS          AL          q       step2              6.000e-01
    MS          AL          q       step3              8.000e-01
    MS          AL          q       step4              1.000e+00
    MS          AL          q       step5              1.400e+00
    MS          AL          p       step1              6.647e-04
    MS          AL          p       step2              3.066e-02
    MS          AL          p       step3              6.066e-02
    MS          AL          p       step4              1.207e-01
    MS          AL          p       step5              2.400e-01
    MS          AR          q       step2              4.500e-01
    MS          AR          q       step3              7.000e-01
    MS          AR          q       step4              1.000e+00
    MS          AR          q       step5              1.400e+00
    MS          AR          p       step1             -7.955e-02
    MS          AR          p       step2              1.704e-01
