Composite Table: 
seasons  regions   hours       load
'4'      '5'       '9'      1757.577255
'4'      '5'       '10'      1779.344605
'4'      '5'       '11'      1793.973564
'4'      '5'       '12'      1798.819714
'4'      '5'       '13'      1796.122761
'4'      '5'       '14'      1800.117468
'4'      '5'       '15'      1778.026546
'4'      '5'       '16'      1766.562046
'4'      '5'       '17'      1778.735581
'4'      '5'       '18'      1903.603789
'4'      '5'       '19'      1938.065494
'4'      '5'       '20'      1923.485223
'4'      '5'       '21'      1817.494936
'4'      '5'       '22'      1666.726124
'4'      '5'       '23'      1620.769776
'4'      '5'       '24'      1608.588773
'1'      '6'       '1'      1323.704938
'1'      '6'       '2'      1374.847924
'1'      '6'       '3'      1296.885354
'1'      '6'       '4'      1135.915711
'1'      '6'       '5'      1072.138390
'1'      '6'       '6'      1079.026074
'1'      '6'       '7'      1138.190374
'1'      '6'       '8'      1328.199258
'1'      '6'       '9'      1573.015266
'1'      '6'       '10'      1584.783234
'1'      '6'       '11'      1597.462756
'1'      '6'       '12'      1643.772220
'1'      '6'       '13'      1666.644894
'1'      '6'       '14'      1685.942452
'1'      '6'       '15'      1710.713331
'1'      '6'       '16'      1727.205704
'1'      '6'       '17'      1790.702861
'1'      '6'       '18'      1673.679219
'1'      '6'       '19'      1584.720429
'1'      '6'       '20'      1705.304327
'1'      '6'       '21'      1750.802664
'1'      '6'       '22'      1670.007924
'1'      '6'       '23'      1648.997079
'1'      '6'       '24'      1609.691181
'2'      '6'       '1'      2808.991813
'2'      '6'       '2'      2412.915087
'2'      '6'       '3'      2226.333800
'2'      '6'       '4'      2097.004677
'2'      '6'       '5'      1941.812405
'2'      '6'       '6'      1939.459687
'2'      '6'       '7'      2054.470454
'2'      '6'       '8'      2218.466875
'2'      '6'       '9'      2408.560387
'2'      '6'       '10'      3145.553085
'2'      '6'       '11'      3801.466013
'2'      '6'       '12'      4122.130419
'2'      '6'       '13'      4315.124966
'2'      '6'       '14'      4419.799347
'2'      '6'       '15'      4874.697005
'2'      '6'       '16'      4925.477873
'2'      '6'       '17'      4953.439224
'2'      '6'       '18'      4763.931637
'2'      '6'       '19'      4889.736986
'2'      '6'       '20'      4350.996726
'2'      '6'       '21'      4246.129878
'2'      '6'       '22'      4087.712764
'2'      '6'       '23'      3989.213072
'2'      '6'       '24'      3500.610475
'3'      '6'       '1'      1012.272025
'3'      '6'       '2'      1154.896485
'3'      '6'       '3'      1089.362281
'3'      '6'       '4'      1046.604144
'3'      '6'       '5'      980.810558
'3'      '6'       '6'      988.282823
'3'      '6'       '7'      1030.043071
'3'      '6'       '8'      1133.045019
'3'      '6'       '9'      1350.536356
'3'      '6'       '10'      1369.863420
'3'      '6'       '11'      1369.956702
'3'      '6'       '12'      1435.312722
'3'      '6'       '13'      1438.569274
'3'      '6'       '14'      1434.281713
'3'      '6'       '15'      1430.317622
'3'      '6'       '16'      1412.009173
'3'      '6'       '17'      1410.669636
'3'      '6'       '18'      1528.929647
'3'      '6'       '19'      1612.896938
'3'      '6'       '20'      1591.457417
'3'      '6'       '21'      1505.095343
'3'      '6'       '22'      1343.074834
'3'      '6'       '23'      1334.104732
'3'      '6'       '24'      1315.903845
'4'      '6'       '1'      2384.368565
'4'      '6'       '2'      2833.389521
'4'      '6'       '3'      2216.352265
'4'      '6'       '4'      2137.732777
'4'      '6'       '5'      2016.118115
