Composite Table: 
seasons	regions	hours  	  technology 	        fuelcost
'4' 	 '3' 	 '11' 	 'electrolysis' 	 0.911461
'4' 	 '3' 	 '12' 	 'electrolysis' 	 0.911428
'4' 	 '3' 	 '13' 	 'electrolysis' 	 0.911349
'4' 	 '3' 	 '14' 	 'electrolysis' 	 0.911349
'4' 	 '3' 	 '15' 	 'electrolysis' 	 0.911428
'4' 	 '3' 	 '16' 	 'electrolysis' 	 0.911428
'4' 	 '3' 	 '17' 	 'electrolysis' 	 1.072022
'4' 	 '3' 	 '18' 	 'electrolysis' 	 17.057471
'4' 	 '3' 	 '19' 	 'electrolysis' 	 1.046351
'4' 	 '3' 	 '20' 	 'electrolysis' 	 1.020561
'4' 	 '3' 	 '21' 	 'electrolysis' 	 0.963115
'4' 	 '3' 	 '22' 	 'electrolysis' 	 0.961522
'4' 	 '3' 	 '23' 	 'electrolysis' 	 1.020363
'4' 	 '3' 	 '24' 	 'electrolysis' 	 1.020363
'1' 	 '4' 	 '1' 	 'electrolysis' 	 8.981517
'1' 	 '4' 	 '2' 	 'electrolysis' 	 13.254224
'1' 	 '4' 	 '3' 	 'electrolysis' 	 13.254224
'1' 	 '4' 	 '4' 	 'electrolysis' 	 13.254224
'1' 	 '4' 	 '5' 	 'electrolysis' 	 12.849381
'1' 	 '4' 	 '6' 	 'electrolysis' 	 13.835082
'1' 	 '4' 	 '7' 	 'electrolysis' 	 12.340850
'1' 	 '4' 	 '8' 	 'electrolysis' 	 13.838038
'1' 	 '4' 	 '9' 	 'electrolysis' 	 13.834992
'1' 	 '4' 	 '10' 	 'electrolysis' 	 9.549850
'1' 	 '4' 	 '11' 	 'electrolysis' 	 10.038465
'1' 	 '4' 	 '12' 	 'electrolysis' 	 9.039945
'1' 	 '4' 	 '13' 	 'electrolysis' 	 9.039945
'1' 	 '4' 	 '14' 	 'electrolysis' 	 9.039945
'1' 	 '4' 	 '15' 	 'electrolysis' 	 9.039945
'1' 	 '4' 	 '16' 	 'electrolysis' 	 9.039945
'1' 	 '4' 	 '17' 	 'electrolysis' 	 9.542753
'1' 	 '4' 	 '18' 	 'electrolysis' 	 11.709064
'1' 	 '4' 	 '19' 	 'electrolysis' 	 14.037935
'1' 	 '4' 	 '20' 	 'electrolysis' 	 14.037808
'1' 	 '4' 	 '21' 	 'electrolysis' 	 14.037808
'1' 	 '4' 	 '22' 	 'electrolysis' 	 12.543648
'1' 	 '4' 	 '23' 	 'electrolysis' 	 13.632298
'1' 	 '4' 	 '24' 	 'electrolysis' 	 13.426604
'2' 	 '4' 	 '1' 	 'electrolysis' 	 39.643241
'2' 	 '4' 	 '2' 	 'electrolysis' 	 40.061267
'2' 	 '4' 	 '3' 	 'electrolysis' 	 38.246210
'2' 	 '4' 	 '4' 	 'electrolysis' 	 38.245418
'2' 	 '4' 	 '5' 	 'electrolysis' 	 38.239113
'2' 	 '4' 	 '6' 	 'electrolysis' 	 40.061811
'2' 	 '4' 	 '7' 	 'electrolysis' 	 42.342341
'2' 	 '4' 	 '8' 	 'electrolysis' 	 43.410386
'2' 	 '4' 	 '9' 	 'electrolysis' 	 44.250613
'2' 	 '4' 	 '10' 	 'electrolysis' 	 39.717045
'2' 	 '4' 	 '11' 	 'electrolysis' 	 36.198606
'2' 	 '4' 	 '12' 	 'electrolysis' 	 36.503681
'2' 	 '4' 	 '13' 	 'electrolysis' 	 36.503222
'2' 	 '4' 	 '14' 	 'electrolysis' 	 37.422027
'2' 	 '4' 	 '15' 	 'electrolysis' 	 37.423163
'2' 	 '4' 	 '16' 	 'electrolysis' 	 37.425319
'2' 	 '4' 	 '17' 	 'electrolysis' 	 39.758115
'2' 	 '4' 	 '18' 	 'electrolysis' 	 48.302716
'2' 	 '4' 	 '19' 	 'electrolysis' 	 42.165289
'2' 	 '4' 	 '20' 	 'electrolysis' 	 42.053814
'2' 	 '4' 	 '21' 	 'electrolysis' 	 37.536450
'2' 	 '4' 	 '22' 	 'electrolysis' 	 38.504594
'2' 	 '4' 	 '23' 	 'electrolysis' 	 39.197167
'2' 	 '4' 	 '24' 	 'electrolysis' 	 40.059164
'3' 	 '4' 	 '1' 	 'electrolysis' 	 2.481457
'3' 	 '4' 	 '2' 	 'electrolysis' 	 2.597190
'3' 	 '4' 	 '3' 	 'electrolysis' 	 2.481457
'3' 	 '4' 	 '4' 	 'electrolysis' 	 2.481607
'3' 	 '4' 	 '5' 	 'electrolysis' 	 2.481607
'3' 	 '4' 	 '6' 	 'electrolysis' 	 2.742393
'3' 	 '4' 	 '7' 	 'electrolysis' 	 2.742393
'3' 	 '4' 	 '8' 	 'electrolysis' 	 2.469131
'3' 	 '4' 	 '9' 	 'electrolysis' 	 2.463210
'3' 	 '4' 	 '10' 	 'electrolysis' 	 2.788621
'3' 	 '4' 	 '11' 	 'electrolysis' 	 2.788771
'3' 	 '4' 	 '12' 	 'electrolysis' 	 2.469131
'3' 	 '4' 	 '13' 	 'electrolysis' 	 2.513430
'3' 	 '4' 	 '14' 	 'electrolysis' 	 2.444797
'3' 	 '4' 	 '15' 	 'electrolysis' 	 2.400355
'3' 	 '4' 	 '16' 	 'electrolysis' 	 2.568983
'3' 	 '4' 	 '17' 	 'electrolysis' 	 3.052677
'3' 	 '4' 	 '18' 	 'electrolysis' 	 24.797550
'3' 	 '4' 	 '19' 	 'electrolysis' 	 2.690095
'3' 	 '4' 	 '20' 	 'electrolysis' 	 2.463210
'3' 	 '4' 	 '21' 	 'electrolysis' 	 2.370455
'3' 	 '4' 	 '22' 	 'electrolysis' 	 2.627089
'3' 	 '4' 	 '23' 	 'electrolysis' 	 2.476726
'3' 	 '4' 	 '24' 	 'electrolysis' 	 2.487371
'4' 	 '4' 	 '1' 	 'electrolysis' 	 20.825741
'4' 	 '4' 	 '2' 	 'electrolysis' 	 20.819609
'4' 	 '4' 	 '3' 	 'electrolysis' 	 20.830095
'4' 	 '4' 	 '4' 	 'electrolysis' 	 20.825256
'4' 	 '4' 	 '5' 	 'electrolysis' 	 20.817472
'4' 	 '4' 	 '6' 	 'electrolysis' 	 20.831101
'4' 	 '4' 	 '7' 	 'electrolysis' 	 21.172500
'4' 	 '4' 	 '8' 	 'electrolysis' 	 21.165200
'4' 	 '4' 	 '9' 	 'electrolysis' 	 21.112686
'4' 	 '4' 	 '10' 	 'electrolysis' 	 20.995694
'4' 	 '4' 	 '11' 	 'electrolysis' 	 20.996151
'4' 	 '4' 	 '12' 	 'electrolysis' 	 19.279626
'4' 	 '4' 	 '13' 	 'electrolysis' 	 18.989719
'4' 	 '4' 	 '14' 	 'electrolysis' 	 18.989356
'4' 	 '4' 	 '15' 	 'electrolysis' 	 18.989356
'4' 	 '4' 	 '16' 	 'electrolysis' 	 19.669554
'4' 	 '4' 	 '17' 	 'electrolysis' 	 21.122917
'4' 	 '4' 	 '18' 	 'electrolysis' 	 27.539424
'4' 	 '4' 	 '19' 	 'electrolysis' 	 21.161961
'4' 	 '4' 	 '20' 	 'electrolysis' 	 20.384437
'4' 	 '4' 	 '21' 	 'electrolysis' 	 20.699765
'4' 	 '4' 	 '22' 	 'electrolysis' 	 21.106714
'4' 	 '4' 	 '23' 	 'electrolysis' 	 19.993460
'4' 	 '4' 	 '24' 	 'electrolysis' 	 20.826382
'1' 	 '5' 	 '1' 	 'electrolysis' 	 7.767995
'1' 	 '5' 	 '2' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '3' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '4' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '5' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '6' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '7' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '8' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '9' 	 'electrolysis' 	 5.539038
'1' 	 '5' 	 '10' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '11' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '12' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '13' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '14' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '15' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '16' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '17' 	 'electrolysis' 	 4.687030
'1' 	 '5' 	 '18' 	 'electrolysis' 	 7.395399
'1' 	 '5' 	 '19' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '20' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '21' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '22' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '23' 	 'electrolysis' 	 8.031291
'1' 	 '5' 	 '24' 	 'electrolysis' 	 8.031291
'2' 	 '5' 	 '1' 	 'electrolysis' 	 55.243503
'2' 	 '5' 	 '2' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '3' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '4' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '5' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '6' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '7' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '8' 	 'electrolysis' 	 55.834601
'2' 	 '5' 	 '9' 	 'electrolysis' 	 47.068298
'2' 	 '5' 	 '10' 	 'electrolysis' 	 45.241484
'2' 	 '5' 	 '11' 	 'electrolysis' 	 45.241484
'2' 	 '5' 	 '12' 	 'electrolysis' 	 45.241484
