

FILE NAME:      BLDBASE
DATE MODIFIED:  January 23, 2025
USED BY:        CALC111D subroutines of the National Energy Modeling System (NEMS)
                 Commercial Demand Module (CDM)
                 Residential Demand Module (RDM)
DEFINITION:     Baseline electricity consumption
UNITS:          billion kilowatt hours of electricity consumption
DIMENSION:      by census division, year
SPECIAL CONSTRAINTS:  Nonnegative values
ORGANIZATION OF DATA:
                The first column of data corresponds to the 9 census divisions in the following order:
                 New England, Middle Atlantic, East North Central, West North Central, South Atlantic,
                 East South Central, West South Central, Mountain, and Pacific.
                The second column provides the corresponding year index, with 1=1990.
                The third and fourth columns contain baseline electricity consumption for the residential
                 and commercial sectors, respectively.
                Data starts on row 101 of this file per CDM convention.
SOURCES:        Updated from Q:\output\rad\int_noAB32\d012225a\p1 RESOUT.txt file















































































CD	YEAR	QELRS   	QELCM
    9   19   520.97998   605.87097
    9   20   517.06799   591.57703
    9   21   498.44299   585.57800
    9   22   509.29800   594.25500
    9   23   509.66699   590.10101
    9   24   509.29800   575.57703
    9   25   503.91400   581.87299
    9   26   499.54712   578.70801
    9   27   497.15707   572.08002
    9   28   519.15430   579.49103
    9   29   505.13702   570.93799
    9   30   504.97928   566.68024
    9   31   538.33551   531.24109
    9   32   530.45300   545.96320
    9   33   537.63098   570.37085
    9   34   514.89050   591.53656
    9   35   528.44916   572.16394
    9   36   495.15302   573.32019
    9   37   506.10263   570.00568
    9   38   523.18115   581.78265
    9   39   537.70618   592.88751
    9   40   545.64264   608.06799
    9   41   550.97150   621.25433
    9   42   552.38904   634.12244
    9   43   554.86951   649.68359
    9   44   556.98956   665.90222
    9   45   561.36346   682.59277
    9   46   567.89935   699.24719
    9   47   575.27551   716.34143
    9   48   583.38025   733.98425
    9   49   591.56396   751.53723
    9   50   599.77264   768.47400
    9   51   607.16815   784.10297
    9   52   614.18091   799.14227
    9   53   621.32288   814.65833
    9   54   628.42310   829.56183
    9   55   635.52863   844.59479
    9   56   642.22284   859.30573
    9   57   648.87738   874.64941
    9   58   655.67224   890.79126
    9   59   661.79120   905.55072
    9   60   667.74261   920.24298
    9   61   673.51917   935.03418
