facility_id,facility_name,facility_type,state,co2_volume,co2_cost_inv_2018$,co2_cost_om_2018$,supply_latitude,supply_longitude,year_operational,years_operating,facility_new,source,plant_id,unit_id,summer_cap,cap_factor,emm_region,emm_census_region,ccs_overnight_cost,ccs_fixed_om_cost,ccs_var_om_cost,rrc,crosswalk_notes,supply_hsm_region,supply_census_region,supply_census_division,co2_ratio,eligibility_45q,cluster_type,operational_status
f1012781,LOBO PROCESSING PLANT,ng_processing,TX,122261.5,18.032136296,11.051954504,31.75048,-103.50753,,0.0,N,2-NETL,,,,,,,,,,8,,4.0,3,7,1.0,1,not_cluster,N
f1009840,BATTLEFIELD GAS PLANT,ng_processing,LA,88479.9,18.971042348,11.627413052,31.96785,-93.67311,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1012815,ALAMO GAS PLANT,ng_processing,TX,101459.6,19.0629874552,11.6837665048,31.2816037,-95.5197394,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1013753,FREEPORT LNG PRETREATMENT FACILITY,ng_processing,TX,200022.9,15.6176061818,9.5720812082,28.984942,-95.308669,,0.0,N,2-NETL,,,,,,,,,,3,,2.0,3,7,1.0,1,not_cluster,N
f1002790,GREEN VALLEY CHEMICAL CORP,ammonia,IA,71590.16229338819,29.884806096999192,21.00647110361464,41.070867,-94.356733,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1002916,ARCHER DANIEL MIDLAND COMPANY,ethanol,NE,2345713.5210056016,34.11070734837822,13.000391874457396,41.42405,-97.28956,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1005170,Green Plains Madison LLC,ethanol,IL,238796.96939156752,26.226033714801822,13.265856423895524,38.67995,-90.17185,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,1,not_cluster,N
f1005626,BIG RIVER UNITED ENERGY LLC,ethanol,IA,459349.05732099456,46.72785934999944,20.82316147881288,42.4872,-91.1633,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1005458,Argos Cement LLC,cement,FL,1236271.6430262206,46.92597505901147,7.308342206871542,29.690671,-82.582134,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,5,1.0,1,not_cluster,N
f1005639,LAFARGE NA WHITEHALL PLANT,cement,PA,433233.517956188,62.73533364589685,15.648451142513638,40.687646,-75.506305,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,1,2,1.0,1,not_cluster,N
f1002537,ASH GROVE CEMENT COMPANY-SEATTLE,cement,WA,416304.84218483727,62.97734993450621,16.86679707293909,47.56799,-122.34255,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1000002,TERRELL GAS PROCESSING,ng_processing,TX,500000.0,63.78161836,39.09195964,40.371053,-85.198134,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1013265,"NE Nitro Geneva, LLC",ammonia,NE,69607.96545160988,63.87417044781385,42.79132825060307,40.53892,-97.58003,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1005662,Mitsubishi Cement Corp Cushenbury Cement Plant,cement,CA,1306199.2523963037,64.55544472049604,7.545436054213503,34.437557,-116.891034,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1000401,Tate & Lyle-Loudon,ethanol,TN,439376.68211294914,64.77033214721236,18.088344887063244,35.7433,-84.3208,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,1.0,3,6,1.0,0,not_cluster,Y
f1006842,CalPortland Company Mojave Plant,cement,CA,1239158.2760510389,65.02551462256241,7.892346189297929,35.02722,-118.31417,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1007877,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,cement,CO,335074.34132667206,65.75977503992561,19.13833447749913,40.202236,-105.236697,,0.0,N,2-NETL,,,,,,,,,,0,,5.0,4,8,1.0,1,not_cluster,N
f1002229,"PCS Nitrogen Ohio, L.P.",ammonia,OH,525528.9260938802,66.02519757412055,20.47549616201721,40.711256,-84.138157,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,0,not_cluster,Y
f1006037,"KOCH FERTILIZER DODGE CITY, LLC",ammonia,KS,288752.06020918046,66.22441747503454,25.76272846766535,37.77995,-100.00572,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,0,not_cluster,Y
f1000290,Lehigh Cement Company LLC,cement,NY,270431.03239158913,67.2514417081409,20.626501955480613,43.3064,-73.6208,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,1,2,1.0,1,not_cluster,N
f1002566,"LEHIGH CEMENT WEST, LLC.",cement,CA,802219.7981271344,69.2827895392721,11.034201921721971,35.12279,-118.369304,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1006575,"KOCH FERTILIZER BEATRICE, LLC",ammonia,NE,225872.4955715556,69.84862054551692,28.311555616001893,40.319088,-96.8414,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,0,not_cluster,Y
f1005502,"East Dubuque Nitrogen Fertilizers, LLC",ammonia,IL,322340.36373081565,71.7204517817414,24.697072271321424,42.44311,-90.55686,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,0,not_cluster,Y
f1007046,"Koch Fertilizer Ft. Dodge, LLC",ammonia,IA,265142.875951182,72.44398598307023,26.620618656505645,42.499406,-94.017177,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,0,not_cluster,Y
f1006642,NATIONAL CEMENT CO OF CALIFORNIA INC,cement,CA,998099.8706657052,67.0564691777358,9.39118437482808,34.819863,-118.748732,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1007927,CalPortland Company Oro Grande Plant,cement,CA,1651373.0147870705,62.573000040085375,6.082398006349874,34.6045,-117.3382,,0.0,N,2-NETL,,,,,,,,,,0,,7.0,4,9,1.0,1,not_cluster,N
f1012698,Dyno Nobel Louisiana Ammonia LLC,ammonia,LA,283013.54925039585,62.470718070511246,25.962073399658657,29.964789,-90.264625,2017.0,7.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,Y
