COMPOSITE TABLE:
SReg   Sulf    Mtyp    Rank    DReg    SubSec  Trate1
4LGN   1A      1S      3L      06OH    I1        999.99
4LGN   1A      1S      3L      07EN    I1        999.99
4LGN   1A      1S      3L      08KT    I1        999.99
4LGN   1A      1S      3L      09AM    I1        999.99
4LGN   1A      1S      3L      10C1    I1        999.99
4LGN   1A      1S      3L      11C2    I1        999.99
4LGN   1A      1S      3L      12WS    I1        999.99
4LGN   1A      1S      3L      13MT    I1        999.99
4LGN   1A      1S      3L      14CU    I1        999.99
4LGN   1A      1S      3L      15ZN    I1        999.99
4LGN   1A      1S      3L      16PC    I1        999.99
5PRB   1A      1S      2S      10C1    I1            13
5PRB   1A      1S      2S      11C2    I1            14
5PRB   1A      1S      2S      13MT    I1            10
5PRB   1A      1S      2S      14CU    I1            10
5PRB   1A      1S      2S      16PC    I1            20
5PRB   1A      1S      2S      01NE    I1        999.99
5PRB   1A      1S      2S      02YP    I1        999.99
5PRB   1A      1S      2S      03S1    I1        999.99
5PRB   1A      1S      2S      04S2    I1        999.99
5PRB   1A      1S      2S      05GF    I1        999.99
5PRB   1A      1S      2S      06OH    I1        999.99
5PRB   1A      1S      2S      07EN    I1        999.99
5PRB   1A      1S      2S      08KT    I1        999.99
5PRB   1A      1S      2S      09AM    I1        999.99
5PRB   1A      1S      2S      10C1    I1        999.99
5PRB   1A      1S      2S      11C2    I1        999.99
5PRB   1A      1S      2S      12WS    I1        999.99
5PRB   1A      1S      2S      13MT    I1        999.99
5PRB   1A      1S      2S      14CU    I1        999.99
5PRB   1A      1S      2S      15ZN    I1        999.99
5PRB   1A      1S      2S      16PC    I1        999.99
6WSR   1A      1S      1B      01NE    I1        999.99
6WSR   1A      1S      1B      02YP    I1        999.99
6WSR   1A      1S      1B      03S1    I1        999.99
6WSR   1A      1S      1B      04S2    I1        999.99
6WSR   1A      1S      1B      05GF    I1        999.99
6WSR   1A      1S      1B      06OH    I1        999.99
6WSR   1A      1S      1B      07EN    I1        999.99
6WSR   1A      1S      1B      08KT    I1        999.99
6WSR   1A      1S      1B      09AM    I1        999.99
6WSR   1A      1S      1B      10C1    I1        999.99
6WSR   1A      1S      1B      11C2    I1        999.99
6WSR   1A      1S      1B      12WS    I1        999.99
6WSR   1A      2D      1B      13MT    R2            20
6WSR   1A      1S      1B      14CU    R1            15
6WSR   1A      1S      1B      15ZN    I1        999.99
6WSR   1A      1S      1B      14CU    R2            15
6WSR   1A      1S      2S      01NE    I1        999.99
6WSR   1A      1S      2S      02YP    I1        999.99
6WSR   1A      1S      2S      03S1    I1        999.99
6WSR   1A      1S      2S      04S2    I1        999.99
6WSR   1A      1S      2S      05GF    I1        999.99
6WSR   1A      1S      2S      06OH    I1        999.99
6WSR   1A      1S      2S      07EN    I1        999.99
6WSR   1A      1S      2S      08KT    I1        999.99
6WSR   1A      1S      2S      09AM    I1        999.99
6WSR   1A      1S      2S      10C1    I1        999.99
6WSR   1A      1S      2S      11C2    I1        999.99
6WSR   1A      1S      2S      12WS    I1        999.99
6WSR   1A      1S      2S      13MT    I1        999.99
6WSR   1A      1S      2S      14CU    I1        999.99
6WSR   1A      1S      2S      15ZN    I1        999.99
6WSR   1A      1S      2S      16PC    I1        999.99
1APN   1A      2D      1B      01NE    I1         39.43
1APN   1A      2D      1B      02YP    I1            15
1APN   1A      2D      1B      03S1    I1         17.53
1APN   1A      2D      1B      04S2    I1         11.32
1APN   1A      2D      1B      05GF    I1         35.14
1APN   1A      2D      1B      06OH    I1          4.23
1APN   1A      2D      1B      07EN    I1           5.5
1APN   1A      2D      1B      08KT    I1         18.41
1APN   1A      2D      1B      09AM    I1         16.35
1APN   1A      2D      1B      10C1    I1        999.99
1APN   1A      2D      1B      11C2    I1        999.99
1APN   1A      2D      1B      12WS    I1        999.99
1APN   1A      2D      1B      13MT    I1        999.99
1APN   1A      2D      1B      14CU    I1        999.99
1APN   1A      2D      1B      15ZN    I1        999.99
1APN   1A      2D      1B      16PC    I1        999.99
2APR   1A      2D      1B      01NE    I1        999.99
