     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2022            'UG'             'EEAE_demand'            1.960059145                       1.778137861                      49.88467841
     'Metallurgical'        2022            'UI'             'CAN_demand'             2.727858612                       2.474674649                      69.42563441
     'Metallurgical'        2023            'UE'             'BRZ_demand'             3.082186846                       2.796116198                      78.44350004
     'Metallurgical'        2023            'UE'             'CHI_demand'             26.99795465                       24.49216159                      687.1141051
     'Metallurgical'        2023            'UE'             'JPN_demand'             1.383726107                       1.255296702                      35.21665765
     'Metallurgical'        2023            'UE'             'WEU_demand'             13.25146217                       12.02153856                      337.2576437
     'Metallurgical'        2023            'UE'             'EEAE_demand'            3.730542938                       3.38429565                       94.94455065
     'Metallurgical'        2023            'UG'             'BRZ_demand'             0.6718842744                      0.6095238856                     17.09985693
     'Metallurgical'        2023            'UG'             'CHI_demand'             7.425093651                       6.735939665                      188.9730776
     'Metallurgical'        2023            'UG'             'JPN_demand'             0.4012524641                      0.3640105452                     10.21211538
     'Metallurgical'        2023            'UG'             'WEU_demand'             3.221457107                       2.922460204                      81.98801154
     'Metallurgical'        2023            'UG'             'EEAE_demand'            1.484034799                       1.346295324                      37.76957388
     'Metallurgical'        2023            'UI'             'CAN_demand'             2.657274506                       2.410641748                      67.62922665
     'Metallurgical'        2024            'UE'             'BRZ_demand'             0.4437080147                      0.4025256187                     11.29263455
     'Metallurgical'        2024            'UE'             'CHI_demand'             36.41605959                       33.03613284                      926.8105131
     'Metallurgical'        2024            'UE'             'JPN_demand'             1.430539736                       1.297765362                      36.40809253
     'Metallurgical'        2024            'UE'             'WEU_demand'             17.86187268                       16.2040376                       454.5953508
     'Metallurgical'        2024            'UE'             'EEAE_demand'            7.013702702                       6.362731629                      178.5029317
     'Metallurgical'        2024            'UG'             'BRZ_demand'             0.09672367458                     0.08774634593                    2.461675411
     'Metallurgical'        2024            'UG'             'CHI_demand'             10.0153014                        9.0857394                        254.8954151
     'Metallurgical'        2024            'UG'             'JPN_demand'             0.4148274656                      0.3763255941                     10.55760729
     'Metallurgical'        2024            'UG'             'WEU_demand'             4.342257176                       3.939234132                      110.5130441
     'Metallurgical'        2024            'UG'             'EEAE_demand'            2.790097595                       2.531136971                      71.00965377
     'Metallurgical'        2024            'UI'             'CAN_demand'             2.683898527                       2.434794683                      68.30682393
     'Metallurgical'        2025            'UE'             'BRZ_demand'             3.626590977                       3.289991906                      92.29891103
     'Metallurgical'        2025            'UE'             'CHI_demand'             34.40820793                       31.21463829                      875.7094865
     'Metallurgical'        2025            'UE'             'JPN_demand'             1.442855466                       1.308938017                      36.72153521
     'Metallurgical'        2025            'UE'             'WEU_demand'             16.07441818                       14.58248422                      409.1035639
     'Metallurgical'        2025            'UE'             'EEAE_demand'            4.514253259                       4.09526654                       114.8904474
     'Metallurgical'        2025            'UG'             'BRZ_demand'             0.790558642                       0.717183589                      20.12019062
     'Metallurgical'        2025            'UG'             'CHI_demand'             9.463093395                       8.584784131                      240.8413909
     'Metallurgical'        2025            'UG'             'JPN_demand'             0.418398777                       0.3795654371                     10.6484993
     'Metallurgical'        2025            'UG'             'WEU_demand'             3.907723392                       3.545031246                      99.45389927
     'Metallurgical'        2025            'UG'             'EEAE_demand'            1.795799978                       1.629124274                      45.7041843
     'Metallurgical'        2025            'UI'             'CAN_demand'             2.701379885                       2.450653524                      68.75173497
     'Metallurgical'        2026            'UE'             'BRZ_demand'             3.845745659                       3.488805925                      97.87652885
     'Metallurgical'        2026            'UE'             'CHI_demand'             31.66074431                       28.72217825                      805.7848928
