COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
30     09NW  2M    1S    2S    0.000                   -0.629              0.000             -0.148            0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
31     10SW  1C    1S    2S    0.000                   -0.629              0.000             0.029             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
32     11WW  1C    2D    2S    -0.542                  -0.629              0.000             -0.157            0.000          0.314             0.095         0.000           0.234           0.000          0.000             0.802
33     11WW  1C    1S    2S    0.000                   -0.629              0.000             -0.157            0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
34     11WW  2M    1S    2S    0.000                   -0.629              0.000             -0.157            0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
35     12RM  1C    2D    1B    0.000                   -0.629              0.000             0.000             0.000          -0.108            0.095         0.000           0.234           0.000          0.000             0.802
36     12RM  1C    2D    4P    0.000                   -0.629              0.000             0.000             0.000          -0.108            0.095         0.000           0.234           0.000          0.000             0.802
37     12RM  1C    1S    2S    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
38     13ZN  2M    2D    1B    0.064                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
39     13ZN  1C    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
40     13ZN  2M    1S    2S    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
41     14AW  1C    1S    2S    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
;
COMPOSITE TABLE:
