COMPOSITE TABLE:
ImpSec              nUS                 DReg                USi                 Pinlandtr
C                   PO                  11C2                UI                  999.99
C                   PO                  12WS                UI                  999.99
C                   PO                  13MT                UI                  999.99
C                   PO                  14CU                UI                  999.99
C                   PO                  15ZN                UI                  999.99
C                   PO                  16PC                UI                  999.99
C                   RE                  01NE                UI                  999.99
C                   RE                  02YP                UI                  999.99
C                   RE                  03S1                UI                  999.99
C                   RE                  04S2                UI                  999.99
C                   RE                  05GF                UI                  999.99
C                   RE                  06OH                UI                  999.99
C                   RE                  07EN                UI                  999.99
C                   RE                  08KT                UI                  999.99
C                   RE                  09AM                UI                  999.99
C                   RE                  10C1                UI                  999.99
C                   RE                  11C2                UI                  999.99
C                   RE                  12WS                UI                  999.99
C                   RE                  13MT                UI                  999.99
C                   RE                  14CU                UI                  999.99
C                   RE                  15ZN                UI                  999.99
C                   RE                  16PC                UI                  999.99
C                   RA                  01NE                UI                  999.99
C                   RA                  02YP                UI                  999.99
C                   RA                  03S1                UI                  999.99
C                   RA                  04S2                UI                  999.99
C                   RA                  05GF                UI                  999.99
C                   RA                  06OH                UI                  999.99
C                   RA                  07EN                UI                  999.99
C                   RA                  08KT                UI                  999.99
C                   RA                  09AM                UI                  999.99
C                   RA                  10C1                UI                  999.99
C                   RA                  11C2                UI                  999.99
C                   RA                  12WS                UI                  999.99
C                   RA                  13MT                UI                  999.99
C                   RA                  14CU                UI                  999.99
C                   RA                  15ZN                UI                  999.99
C                   RA                  16PC                UI                  999.99
C                   SF                  01NE                UI                  999.99
C                   SF                  02YP                UI                  999.99
C                   SF                  03S1                UI                  999.99
C                   SF                  04S2                UI                  999.99
C                   SF                  05GF                UI                  999.99
C                   SF                  06OH                UI                  999.99
C                   SF                  07EN                UI                  999.99
C                   SF                  08KT                UI                  999.99
C                   SF                  09AM                UI                  999.99
C                   SF                  10C1                UI                  999.99
C                   SF                  11C2                UI                  999.99
C                   SF                  12WS                UI                  999.99
C                   SF                  13MT                UI                  999.99
C                   SF                  14CU                UI                  999.99
C                   SF                  15ZN                UI                  999.99
C                   SF                  16PC                UI                  999.99
C                   IN                  01NE                UI                  999.99
C                   IN                  02YP                UI                  999.99
C                   IN                  03S1                UI                  999.99
C                   IN                  04S2                UI                  999.99
C                   IN                  05GF                UI                  999.99
C                   IN                  06OH                UI                  999.99
C                   IN                  07EN                UI                  999.99
C                   IN                  08KT                UI                  999.99
C                   IN                  09AM                UI                  999.99
C                   IN                  10C1                UI                  999.99
C                   IN                  11C2                UI                  999.99
C                   IN                  12WS                UI                  999.99
C                   IN                  13MT                UI                  999.99
C                   IN                  14CU                UI                  999.99
C                   IN                  15ZN                UI                  999.99
C                   IN                  16PC                UI                  999.99
C                   HI                  01NE                UI                  999.99
C                   HI                  02YP                UI                  999.99
C                   HI                  03S1                UI                  999.99
C                   HI                  04S2                UI                  999.99
