COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
864_2               125                 864                 "2"                 "Meredosia"                   "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
864_3               126                 864                 "3"                 "Meredosia"                   "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
867_7               127                 867                 "7"                 "Crawford"                    "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
867_8               128                 867                 "8"                 "Crawford"                    "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
876_1               129                 876                 "1"                 "Kincaid Generation L"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
876_2               130                 876                 "2"                 "Kincaid Generation L"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
879_5               131                 879                 "5"                 "Powerton"                    "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
879_6               132                 879                 "6"                 "Powerton"                    "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
883_7               133                 883                 "7"                 "Waukegan"                    "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
883_8               134                 883                 "8"                 "Waukegan"                    "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
884_1               135                 884                 "1"                 "Will County"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
884_2               136                 884                 "2"                 "Will County"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
884_3               137                 884                 "3"                 "Will County"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
884_4               138                 884                 "4"                 "Will County"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
886_19              139                 886                 "19"                "Fisk Street"                 "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
887_1               140                 887                 "1"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
887_2               141                 887                 "2"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
887_3               142                 887                 "3"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
887_4               143                 887                 "4"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
887_5               144                 887                 "5"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
887_6               145                 887                 "6"                 "Joppa Steam"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
889_1               146                 889                 "1"                 "Baldwin Energy Compl"        "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
