COMPOSITE TABLE:
e    i    tc   vclass    IntlNauticalMiles   VesselLadingT
VT   NI   2    No_Ship   11429               0
VT   OW   1    Panamax   9610                70000
VT   OW   2    Panamax   9610                70000
VT   PS   1    Panamax   8987                70000
VT   PS   2    Panamax   8987                70000
VT   RM   1    Panamax   6691                70000
VT   RM   2    Panamax   6691                70000
VT   SC   1    Panamax   10711               70000
VT   SC   2    Panamax   10711               70000
VT   TL   1    Panamax   7320                70000
VT   TL   2    Panamax   7320                70000
VT   UE   1    No_Ship   11350               0
VT   UE   2    No_Ship   11350               0
VT   UG   1    No_Ship   11373               0
VT   UG   2    No_Ship   11373               0
VT   UI   1    No_Ship   11292               0
VT   UI   2    No_Ship   11292               0
VT   UN   1    No_Ship   5390                0
VT   UN   2    No_Ship   5390                0
VZ   AS   1    No_Ship   10999               0
VZ   AS   2    Panamax   10999               45000
VZ   BT   1    No_Ship   4299                0
VZ   BT   2    Panamax   4299                70000
VZ   CH   1    No_Ship   10069               0
VZ   CH   2    Panamax   10069               70000
VZ   EA   1    No_Ship   9361                0
VZ   EA   2    Panamax   9361                70000
VZ   GY   1    No_Ship   4474                0
VZ   GY   2    Panamax   4474                70000
VZ   IN   1    No_Ship   10184               0
VZ   IN   2    No_Ship   10184               0
VZ   JA   1    No_Ship   8600                0
VZ   JA   2    Panamax   8600                70000
VZ   LA   1    No_Ship   1964                0
VZ   LA   2    Panamax   1964                55000
VZ   MX   1    No_Ship   2046                0
VZ   MX   2    Panamax   2046                45000
VZ   NE   1    No_Ship   2058                0
VZ   NE   2    Panamax   2058                35000
VZ   NI   1    No_Ship   2933                0
VZ   NI   2    No_Ship   2933                0
VZ   OW   1    No_Ship   4234                0
VZ   OW   2    Panamax   4234                70000
VZ   PS   1    No_Ship   3729                0
VZ   PS   2    Panamax   3729                70000
VZ   RM   1    No_Ship   5613                0
VZ   RM   2    Panamax   5613                70000
VZ   SC   1    No_Ship   5199                0
VZ   SC   2    Panamax   5199                70000
VZ   TL   1    No_Ship   4990                0
VZ   TL   2    Panamax   4990                70000
VZ   UE   1    No_Ship   1531                0
VZ   UE   2    Panamax   1531                35000
VZ   UG   1    No_Ship   1982                0
VZ   UG   2    Panamax   1982                35000
VZ   UI   1    No_Ship   1954                0
VZ   UI   2    No_Ship   1954                0
VZ   UN   1    No_Ship   5561                0
VZ   UN   2    No_Ship   5561                0
