COMPOSITE TABLE:
i  tc yr    InternationalDemand
AS 2  2042  201.07
AS 2  2043  204.56
AS 2  2044  208.12
AS 2  2045  211.74
AS 2  2046  215.42
AS 2  2047  219.16
AS 2  2048  222.97
AS 2  2049  226.85
AS 2  2050  230.79
BT 2  1990  8.60
BT 2  2001  25.10
BT 2  2002  24.10
BT 2  2003  25.80
BT 2  2004  29.70
BT 2  2005  35.70
BT 2  2006  41.70
BT 2  2007  32.40
BT 2  2008  32.86
BT 2  2009  26.05
BT 2  2010  15.27
BT 2  2011  22.26
BT 2  2012  31.79
BT 2  2013  32.11
BT 2  2014  25.59
BT 2  2015  14.36
BT 2  2016  3.50
BT 2  2017  5.56
BT 2  2018  7.24
BT 2  2019  2.55
BT 2  2020  1.64
BT 2  2021  2.01
BT 2  2022  1.46
BT 2  2023  1.00
BT 2  2024  0.91
BT 2  2025  0.90
BT 2  2026  0.89
BT 2  2027  0.88
BT 2  2028  0.87
BT 2  2029  0.86
BT 2  2030  0.86
BT 2  2031  0.85
BT 2  2032  0.84
BT 2  2033  0.83
BT 2  2034  0.82
BT 2  2035  0.81
BT 2  2036  0.80
BT 2  2037  0.80
BT 2  2038  0.79
BT 2  2039  0.78
BT 2  2040  0.77
BT 2  2041  0.77
BT 2  2042  0.77
BT 2  2043  0.77
BT 2  2044  0.77
BT 2  2045  0.76
BT 2  2046  0.76
BT 2  2047  0.76
BT 2  2048  0.76
BT 2  2049  0.76
BT 2  2050  0.76
CH 2  1990  7.90
CH 2  2001  9.80
CH 2  2002  17.80
CH 2  2003  15.90
CH 2  2004  19.20
CH 2  2005  24.90
CH 2  2006  40.80
CH 2  2007  46.90
CH 2  2008  41.85
CH 2  2009  87.99
CH 2  2010  113.91
CH 2  2011  136.04
CH 2  2012  159.92
CH 2  2013  175.43
CH 2  2014  131.94
CH 2  2015  96.89
CH 2  2016  115.70
CH 2  2017  105.52
CH 2  2018  110.96
CH 2  2019  123.66
CH 2  2020  116.92
CH 2  2021  118.35
CH 2  2022  109.51
CH 2  2023  105.80
CH 2  2024  105.80
CH 2  2025  110.00
CH 2  2026  109.56
CH 2  2027  109.11
CH 2  2028  108.67
CH 2  2029  108.24
CH 2  2030  107.80
CH 2  2031  107.37
CH 2  2032  106.93
CH 2  2033  106.50
CH 2  2034  106.07
CH 2  2035  105.64
CH 2  2036  105.22
CH 2  2037  104.79
CH 2  2038  104.37
CH 2  2039  103.95
CH 2  2040  103.53
CH 2  2041  103.11
CH 2  2042  102.70
CH 2  2043  102.28
CH 2  2044  101.87
CH 2  2045  101.46
CH 2  2046  101.05
CH 2  2047  100.64
CH 2  2048  100.24
CH 2  2049  99.83
CH 2  2050  99.43
EA 2  1990  24.50
