COMPOSITE TABLE:
M4     M11    tc     yr     hclworld
3      1      1      2005   6.56
4      1      1      2005   123.11
1      2      1      2005   3.69
2      2      1      2005   1.25
3      2      1      2005   17.07
4      2      1      2005   22.01
1      3      1      2005   68.67
2      3      1      2005   4.34
3      3      1      2005   1.14
4      3      1      2005   76.28
1      4      1      2005   42.00
2      4      1      2005   12.90
3      4      1      2005   0.00
4      4      1      2005   54.90
1      5      1      2005   14.94
2      5      1      2005   0.00
3      5      1      2005   0.11
4      5      1      2005   14.99
1      6      1      2005   0.00
2      6      1      2005   0.99
3      6      1      2005   0.61
4      6      1      2005   1.68
1      7      1      2005   2.84
2      7      1      2005   69.83
3      7      1      2005   0.40
4      7      1      2005   73.19
1      8      1      2005   36.40
2      8      1      2005   0.00
3      8      1      2005   32.35
4      8      1      2005   68.78
1      9      1      2005   0.22
2      9      1      2005   13.89
3      9      1      2005   0.00
4      9      1      2005   14.11
1      10     1      2005   20.73
2      10     1      2005   102.63
3      10     1      2005   3.94
4      10     1      2005   127.65
1      11     1      2005   192.87
2      11     1      2005   318.60
3      11     1      2005   62.17
4      11     1      2005   576.69
1      1      2      2005   32.35
2      1      2      2005   92.92
3      1      2      2005   9.15
4      1      2      2005   134.48
1      2      2      2005   16.10
2      2      2      2005   3.73
3      2      2      2005   8.11
4      2      2      2005   27.93
1      3      2      2005   1.07
2      3      2      2005   0.00
3      3      2      2005   0.14
4      3      2      2005   1.25
1      4      2      2005   3.20
2      4      2      2005   4.19
3      4      2      2005   0.00
4      4      2      2005   7.39
1      5      2      2005   1.43
2      5      2      2005   0.00
3      5      2      2005   0.00
4      5      2      2005   1.43
1      6      2      2005   9.51
2      6      2      2005   15.43
3      6      2      2005   4.36
4      6      2      2005   29.28
1      7      2      2005   0.18
2      7      2      2005   5.59
3      7      2      2005   4.36
4      7      2      2005   5.80
1      8      2      2005   0.00
2      8      2      2005   0.00
3      8      2      2005   0.00
4      8      2      2005   0.00
1      9      2      2005   0.00
2      9      2      2005   0.00
3      9      2      2005   0.00
4      9      2      2005   0.00
1      10     2      2005   0.00
2      10     2      2005   19.82
3      10     2      2005   0.11
4      10     2      2005   19.95
1      11     2      2005   63.84
2      11     2      2005   141.69
3      11     2      2005   21.87
4      11     2      2005   227.51
1      1      1      2006   4.19
2      1      1      2006   112.77
3      1      1      2006   7.78
4      1      1      2006   124.78
1      2      1      2006   5.84
