,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
AT153,San Patricio,CGOM0816,gas,4783.465,7,258.6301,11723.84,258.6301,11723.84,0.25,0.3,0.5,0.5,SS,2001,2036,2,1,94399.9865,4279201.6,94399.9865,4279201.6
ST199,G21671,CGOM0002,gas,121.3911,6,236.7123,1972.603,394.5206,3986.302,0.25,0.3,0.5,0.5,FP,2001,2042,2,1,86399.9895,720000.095,144000.019,1455000.23
EW913,G22840,CGOM0002,gas,652.8871,5,312.0548,2487.124,414.5206,4024.111,0.25,0.3,0.5,0.5,SS,2001,2041,2,1,113900.002,907800.26,151300.019,1468800.515
MC509,Who Dat East,CGOM0816,oil,4261.811,10,3543.288,1336.439,12586.3,4719.453,0.25,0.3,0.5,0.5,SS,2001,2028,2,1,1293300.12,487800.235,4593999.5,1722600.345
ST174,G22742,CGOM0002,both,108.2677,6,238.3562,1763.836,417.2603,3471.782,0.25,0.3,0.5,0.5,FP,2001,2043,2,1,87000.013,643800.14,152300.0095,1267200.43
GC601,G21218,CGOM0816,both,4550.525,6,353.6986,2516.713,497.8082,3983.015,0.25,0.3,0.5,0.5,SS,2001,2040,2,1,129099.989,918600.245,181699.993,1453800.475
SS260,G18020,CGOM0002,gas,147.6378,6,233.1507,1934.795,387.9452,3905.754,0.25,0.3,0.5,0.5,FP,2002,2040,2,1,85100.0055,706200.175,141599.998,1425600.21
MI697,G23157,WGOM0002,gas,68.89764,6,216.9863,1684.932,368.4932,3333.699,0.25,0.3,0.5,0.5,FP,2002,2043,2,1,79199.9995,615000.18,134500.018,1216800.135
SS164,G22706,CGOM0002,gas,55.77428,6,210.137,1724.384,348.4931,3450.412,0.25,0.3,0.5,0.5,FP,2002,2042,2,1,76700.005,629400.16,127199.9815,1259400.38
ST081,G18036,CGOM0002,gas,62.33596,6,222.1918,1880.548,365.2055,3805.48,0.25,0.3,0.5,0.5,FP,2002,2042,2,1,81100.007,686400.02,133300.0075,1389000.2
GC641,G16770,CGOM0816,gas,3887.795,6,362.7397,3008.22,500.5479,5158.358,0.25,0.3,0.5,0.5,SS,2002,2042,2,1,132399.9905,1098000.3,182699.9835,1882800.67
SS213,G22715,CGOM0002,gas,101.706,6,190.137,1893.699,284.3836,3904.11,0.25,0.3,0.5,0.5,FP,2002,2044,2,1,69400.005,691200.135,103800.014,1425000.15
GC048,G16680,CGOM0002,gas,449.4751,6,309.589,2704.11,401.0959,4556.714,0.25,0.3,0.5,0.5,SS,2002,2041,2,1,112999.985,987000.15,146400.0035,1663200.61
GC485,G20070,CGOM0816,gas,2706.693,6,372.6028,3042.741,510.411,5089.316,0.25,0.3,0.5,0.5,SS,2002,2039,2,1,136000.022,1110600.465,186300.015,1857600.34
ST312,G22761,CGOM0002,gas,337.9265,6,227.9452,1744.11,391.2329,3452.055,0.25,0.3,0.5,0.5,FP,2002,2041,2,1,83199.998,636600.15,142800.0085,1260000.075
SS080,G23890,CGOM0002,gas,22.96588,6,228.2192,1992.329,368.4932,4024.111,0.25,0.3,0.5,0.5,FP,2002,2042,2,1,83300.008,727200.085,134500.018,1468800.515
GC569,G18399,CGOM0816,gas,4110.893,6,304.1096,2705.754,388.4932,4564.933,0.25,0.3,0.5,0.5,SS,2003,2040,2,1,111000.004,987600.21,141800.018,1666200.545
