stsub,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20.459,17.799,18.853,24.858,24.947,19.603,20.945,24.61,24.628,24.942,25.974,25.59,29.718,29.989,29.482,26.251,27.681,29.504,21.946,18.315,21.464,17.291,19.549,20.665,19.311,20.816,18.081,15.757,14.238,0,10.474,8.599,9.292,7.795
40,37.687,37.008,41.715,43.349,45.992,44.354,48.357,46.599,48.212,46.756,42.177,38.523,38.88,35.476,33.958,28.92,29.113,27.339,25.833,25.878,22.793,22.611,21.677,19.28,17.465,15.272,16.107,14.62,15.663,16.931,16.568,16.568,16.568,16.568
41,1278.665,1206.57,1119.959,1099.464,1017.719,954.621,895.588,876.234,830.732,801.309,786.669,774.78,743.542,715.764,748.766,726.876,768.54,703.321,702.384,672.493,597.795,564.012,541.652,474.56,500.341,480.098,406.744,350.629,331.34,308.047,300.588,292.462,283.676,251.744
42,2.815,2.741,2.58,4.003,3.221,1.923,1.439,1.173,1.067,1.291,1.214,1.11,0.837,0.731,0.467,0.454,0.621,0.409,0.778,0.821,1.407,1.344,0.77,0.77,1.142,0.848,0.801,0.659,0.499,0.399,0.32,0.32,0.013,0.091
43,142.306,70.219,72.752,53.932,45.821,45.244,38.184,21.795,36.947,43.367,37.095,28.001,29.069,29.733,38.343,32.363,35.403,39.387,41.758,49.679,51.913,58.087,61.041,67.097,63.078,59.551,48.006,42.414,66.528,111.299,139.852,152.598,157.269,143.039
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.001,0,0.011,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0
47,1.991,1.775,1.718,1.62,1.817,1.77,1.649,1.474,1.388,1.214,1.134,1.957,2.023,1.781,2.072,2.169,2.607,3.853,4.621,5.408,4.592,4.289,5.248,4.827,4.814,3.864,3.283,2.687,3.035,3.072,2.744,0,2.988,0
48,76.129,51.006,43.193,34.83,30.817,28.989,27.975,24.602,26.486,26.655,16.33862345,13.62054524,11.68905059,13.86463574,22.56366501,30.48829011,24.03708062,19.33564066,17.72393938,13.56001421,10.07394316,7.918110615,6.862933473,6.544499192,5.675040181,4.634682402,4.124817793,3.960601179,3.636060327,2.396998879,2.095224218,2.089321767,2.700554704,4.327
49,144.45,141.694,129.987,123.5,120.671,112.047,107.832,110.726,128.63,157.44,155.8931453,194.741178,163.8131994,162.1696594,164.7946244,172.4965125,182.159799,169.3103188,167.6059742,140.5763278,108.0627967,74.53564173,52.65705004,43.09298171,39.94112089,29.32956221,23.17684875,20.15745214,17.17661613,16.30688007,14.03174752,12.14044618,15.2401769,22.73
50,273.717,255.375,228.68,216.495,220.767,247.033,270.004,269.884,295.053,296.927,318.4284682,323.3779324,248.813125,247.711706,245.9550644,254.1512628,229.3035581,217.9041743,236.6449473,235.0386566,250.8690172,192.3278982,157.3633848,127.9693669,120.7123827,102.4071145,75.80825176,60.73162013,51.49993174,38.78981032,31.44437341,23.7470808,27.01662559,48.281
51,336.131,332.447,311.167,311.458,341.444,386.059,429.584,430.463,421.004,368.756,388.9186616,541.4634439,571.6271713,558.5423313,479.8902798,456.1924603,410.7517385,417.4378588,394.0781411,328.9772551,270.985894,228.650284,173.0226679,126.7972498,112.7961709,98.36562404,92.18604975,85.84630624,77.9338335,81.41536239,69.79204214,69.85107113,64.19489659,58.53872204
52,97.299,101.972,93.56,78.835,72.484,65.386,66.275,64.724,63.17,61.283,65.815,55.486,55.158,58.885,50.502,52.313,47.647,48.526,44.193,36.503,26.639,25.869,24.112,21.215,19.695,16.949,11.66,11.972,10.666,9.079,7.388,5.945,6.142,8.01
53,169.862,167.202,164.689,157.563,145.695,135.302,146.183,142.177,119.661,116.123,118.068,101.334,97.921,99.654,102.135,134.127,135.108,135.645,146.786,145.263,133.422,113.56,103.885,117.051,118.036,112.163,102.875,106.208,101.493,97.064,88.26,86.081,81.554,73.691
54,79.557,72.923,62.059,60.969,58.706,58.756,57.602,57.437,53.056,51.389,51.935,41.259,40.82,39.285,34.566,34.477,35.08,35.688,38.07,35.014,31.986,30.812,30.59,33.214,33.833,31.458,27.015,25.378,23.646,22.533,17.836,16.813,17.1475,20.541
55,124.69,129.518,124.251,127.358,134.986,141.674,134.373,126.066,120.829,112.371,101.277,72.681,73.859,79.409,69.69,71.374,70.148,66.828,67.32,66.32,65.222,59.178,52.979,51.435,47.982,49.494,44.268,42.271,38.476,37.478,28.469,28.858,29.767,39.222
