,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,9.055,13.196,13.229,12.017,12.829,12.747,11.627,10.315,9.742,9.11,9.096,9.492,9.709,8.728,7.15,6.203,5.452,4.827,4.221,2.474,3.209,3.327,3.455,4.187,4.89,5.108,4.438,3.975,4.371,4.043,3.658,2.681,2.573,2.25
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,245.341,267.688,279.104,282.511,296.148,325.488,351.697,391.248,427.194,475.224,503.188,528.781,522.536,510.306,487.672,424.653,437.323,439.285,399.157,548.08,548.252,452.693,422.882,416.332,470.634,515.21,553.713,583.913,612.199,662.476,586.447,591.279,603.115,653.648
81,24.463,24.067,21.805,18.607,17.674,18.83,21.947,20.92,21.194,18.84,20.062,31.704,44.884,50.759,47.683,41.411,33.716,28.159,23.827,21.861,18.109,27.768,40.176,41.522,39.189,37.614,31.791,29.754,29.707,30.135,23.721,31.795,28.356,26.353
82,27.319,28.858,37.518,43.299,48.567,57.601,52.349,45.793,39.78,34.325,31.722,29.453,28.585,26.539,24.678,23.777,23.281,22.136,21.615,20.144,19.566,17.976,16.184,16.931,16.951,10.837,5.949,5.544,4.721,4.322,4.338,3.852,2.601,2.867
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
