FILE NAME:     RGENTK
DATE MODIFIED: October 28, 2024
USED BY:       RDISTGEN subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Residential distributed generation econometric ZIP code-level PV penetration data and model coefficients.
               Hurdle model based off systems installed from 2011-2022 in NJ, AZ, CA,

UNITS:         Income, electricity rate, PV system cost, and monthly payment data in 2018$ to align with RSGENTK.txt iGenCapCostYr
DIMENSION:     various
SPECIAL CONSTRAINTS: various
               Many coefficients below are zero. This is to preserve model flexibility without the need to recode the Fortran model.
ORGANIZATION OF DATA: First block of data includes model control switches starting year;
                Second block of data contains coefficients for full, urban, and rural penetration models;
                Third block of data contains ZIP code-level inputs
               Data starts on row 21 of this file per RDM convention
SOURCES:       U.S. Census Bureau American Community Survey (ACS); trackingthesun.lbl.gov/;
                www.californiasolarstatistics.ca.gov/current_data_files/; www.njcleanenergy.com/renewable-energy/project-activity-reports/installation-summary-by-technology/solar-installation-projects; www.arizonagoessolar.org
COMMENT:       FOR TESTING ONLY: Increment EstYear from 2021 to 2022 so solar PV hurdle model doesn't run in 2020 RECS base year



.TRUE.    Residential PV model choice switch; TRUE = use ZIP code econometric penetration model; FALSE = use PV niche/ payback approach (UseZipModel)
.TRUE.    PV capacity calibration switch; TRUE = calibrate ZIP code model to exogenous PV capacity; FALSE = use ZIP model capacity output starting in EstYear (PVzipcalib)
2022      Base year of estimation model and first year to execute new model projections (EstYear)

Full Model Coefficients		
logit component : negative binomial model
4.57E-01	9.80E-01	Intercept
-3.75E-05	8.84E-05	Households
4.03E-06	-1.02E-04	Population Density
1.16E-07	2.77E-06	Income
-9.33E-01	2.59E-01	Insolation
8.14E-02	2.49E-02	Electricity Rate
5.54E-04	9.96E-05	One-Year Lagged Cooling Degree Day
8.28E-02	-5.01E-02	Monthly Payment for PV System (30-Year)
0.00E+00	0.00E+00	Interest Rate
1.21E+00	6.76E-03	Lag1 PV Installs (one year lag)
0.00E+00	0.00E+00	Lag2 PV Installs (two year lag)
0.00E+00	0.00E+00	PV Installed Price net of Tax Credit (if any)
Urban Model
1.83E+00	2.66E-01	Coefficient labeling same as above
6.27E-05	1.20E-04	
-1.26E-04	-1.66E-04	
6.07E-06	3.10E-06	
-1.87E+00	4.96E-01	
2.08E-01	4.62E-02	
2.52E-03	1.39E-04	
1.20E-01	-9.57E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
Rural Model
-2.88E+00	-1.17E+00	Coefficient labeling same as above
3.91E-04	2.29E-04	
4.86E-03	8.15E-03	
1.30E-05	5.92E-06	
-3.88E-01	3.85E-01	
1.50E-01	5.16E-02	
5.87E-04	3.00E-04	
2.10E-02	-6.82E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	

27326 Number of ZIP code records to read in below (numzips)

"ZipCode","State","CenDiv","Income(2022$)","Households","PopDensity","Insol","ElecRate(2022$)","LagCDD","IntRate","PVPrice(2022$)","MonthlyPayment(2022$)","Lag1_Installs","Lag2_Installs","PureHurdle","RuralZip","NewModelInstalls"
07104,"NJ",2,51511,20197,7978.67885959427,4.67,21.39,1021,5.34403846153846,2.92,16.27,24,0,0,0,10
07105,"NJ",2,51927,19484,4200.08885251538,4.65,21.39,1021,5.34403846153846,2.92,16.27,10,0,0,0,4
07106,"NJ",2,48983,12682,8951.83366561814,4.68,21.39,1021,5.34403846153846,2.92,16.27,35,0,0,0,18
07107,"NJ",2,46916,15112,9166.63512617164,4.68,21.39,1021,5.34403846153846,2.92,16.27,14,0,0,0,6
07108,"NJ",2,32739,11130,8069.1876445856,4.68,21.39,1021,5.34403846153846,2.92,16.27,11,0,0,0,14
07109,"NJ",2,85374,13715,4153.34649321539,4.66,21.39,1021,5.34403846153846,2.92,16.27,68,0,0,0,45
07110,"NJ",2,112318,11676,3460.61294452169,4.65,21.39,1021,5.34403846153846,2.92,16.27,18,0,0,0,24
07111,"NJ",2,57293,22178,7610.2939950545,4.68,21.39,1021,5.34403846153846,2.92,16.27,54,0,0,0,51
07112,"NJ",2,49966,10823,7964.38495443604,4.67,21.39,1021,5.34403846153846,2.92,16.27,10,0,0,0,15
07114,"NJ",2,32591,4205,532.710855244299,4.66,21.39,1021,5.34403846153846,2.92,16.27,6,0,0,0,1
07201,"NJ",2,60377,9545,1482.75139218036,4.64,21.39,1021,5.34403846153846,2.92,16.27,31,0,0,0,24
07202,"NJ",2,63032,14985,6477.58335572335,4.64,21.39,1021,5.34403846153846,2.92,16.27,31,0,0,0,43
07203,"NJ",2,75264,8223,3120.11925157977,4.66,21.39,1021,5.34403846153846,2.92,16.27,59,0,0,0,84
07204,"NJ",2,97769,5100,4163.25669221314,4.66,21.39,1021,5.34403846153846,2.92,16.27,30,0,0,0,22
07205,"NJ",2,89804,7248,2620.81962359332,4.67,21.39,1021,5.34403846153846,2.92,16.27,53,0,0,0,60
07206,"NJ",2,54206,8839,4973.43058855583,4.64,21.39,1021,5.34403846153846,2.92,16.27,43,0,0,0,40
07208,"NJ",2,59085,12119,6762.85186128052,4.66,21.39,1021,5.34403846153846,2.92,16.27,25,0,0,0,34
07302,"NJ",2,165235,26529,18514.0072279637,4.62,21.39,1021,5.34403846153846,2.92,16.27,2,0,0,0,1
07304,"NJ",2,65504,19122,9304.05463717924,4.62,21.39,1021,5.34403846153846,2.92,16.27,13,0,0,0,8
07305,"NJ",2,73735,25628,4496.03139266302,4.64,21.39,1021,5.34403846153846,2.92,16.27,34,0,0,0,31
07306,"NJ",2,74610,22582,7560.71480322973,4.62,21.39,1021,5.34403846153846,2.92,16.27,18,0,0,0,8
07307,"NJ",2,76664,17132,9013.35179226366,4.62,21.39,1021,5.34403846153846,2.92,16.27,16,0,0,0,9
07310,"NJ",2,191912,7122,11652.7057816225,4.62,21.39,1021,5.34403846153846,2.92,16.27,0,0,0,0,0
07401,"NJ",2,163875,2271,734.634239826281,4.65,20.71,1021,5.34403846153846,2.92,16.27,1,0,0,0,3
07403,"NJ",2,125865,2949,483.500630891963,4.63,18.9,1021,5.34403846153846,2.92,16.27,4,0,0,0,0
07405,"NJ",2,125896,6810,343.828535782973,4.63,18.9,1021,5.34403846153846,2.92,16.27,2,0,0,0,1
07407,"NJ",2,84578,7220,2731.83425294537,4.64,21.39,1021,5.34403846153846,2.92,16.27,19,0,0,0,16
07410,"NJ",2,141540,12309,2397.06011662303,4.63,21.39,1021,5.34403846153846,2.92,16.27,74,0,0,0,47
07416,"NJ",2,88557,2576,211.812610358618,4.55,20.07,1021,5.34403846153846,2.92,16.27,9,0,0,0,3
07417,"NJ",2,204833,3770,400.189448809596,4.64,20.71,1021,5.34403846153846,2.92,16.27,5,0,0,0,1
07418,"NJ",2,178750,900,195.188142182918,4.57,21.96,1021,5.34403846153846,2.92,16.27,2,0,0,0,3
07419,"NJ",2,112555,4057,237.836234379878,4.54,20.07,1021,5.34403846153846,2.92,16.27,6,0,0,0,10
07420,"NJ",2,99375,1857,771.947720501761,4.63,18.33,1021,5.34403846153846,2.92,16.27,4,0,0,0,1
07421,"NJ",2,134179,2803,124.172929529356,4.6,22.31,1021,5.34403846153846,2.92,16.27,9,0,0,0,5
07422,"NJ",2,106741,2149,122.854278220302,4.57,22.31,1021,5.34403846153846,2.92,16.27,3,0,0,0,2
