Notes,,,,,,
region_number,id,source_num,source_name,d_tonne,mmt,bin
5,1007264,3,Ethanol,58.25,0.077195079,7
5,1006055,3,Ethanol,59.75,0.066470326,7
5,1002083,3,Ethanol,61.28,0.059312656,7
5,1006942,3,Ethanol,62.67,0.053672424,7
5,1001831,3,Ethanol,62.88,0.0863967,7
5,1003008,5,Cement,128.86,0.624805452,8
5,1002530,5,Cement,141.62,0.423410112,8
5,1003067,5,Cement,142.6,0.410621355,8
5,1004131,5,Cement,146.12,0.37367442,8
5,1006669,5,Cement,148.37,0.538508952,8
5,1007877,5,Cement,152.85,0.312588225,8
5,1007217,1,Hydrogen,169.81,0.06334686,8
5,1004174,5,Cement,172.53,0.378534069,8
5,1003643,5,Cement,181.41,0.24446232,8
7,1003779,3,Ethanol,46.15,0.240943027,4
7,1001894,9,NGP,46.91,0.10208494,4
7,1004765,3,Ethanol,47.06,0.214804473,5
7,1001157,3,Ethanol,47.21,0.227728813,5
7,1005386,3,Ethanol,47.39,0.206245364,5
7,1005353,3,Ethanol,47.56,0.201983028,5
7,1004702,3,Ethanol,47.87,0.210072707,5
7,1004526,3,Ethanol,50.83,0.139853272,6
7,1006672,3,Ethanol,51.56,0.129669748,6
7,1007063,3,Ethanol,52.67,0.116101778,6
7,1006030,3,Ethanol,53.27,0.109665244,7
7,1002047,3,Ethanol,53.88,0.103537252,7
7,1001867,3,Ethanol,53.91,0.111319299,7
7,1007367,9,NGP,54.32,0.04973968,7
7,1004713,3,Ethanol,54.61,0.09686989,7
7,1001723,3,Ethanol,55.38,0.090426206,7
7,1004103,3,Ethanol,76.21,0.022900488,8
7,1008006,3,Ethanol,76.56,0.024184745,8
7,1004539,5,Cement,138.66,0.4450302,8
7,1007506,1,Hydrogen,153.75,0.095917212,8
7,1006185,5,Cement,164.82,0.239034033,8
7,1006671,1,Hydrogen,168.04,0.06811956,8
7,1002531,5,Cement,172.54,0.202079664,8
7,1007000,1,Hydrogen,220.96,0.025844688,8
6,1006845,9,NGP,32.68,1.35453136,1
6,1007955,9,NGP,33.92,0.94613476,1
6,1005164,9,NGP,35.93,0.57727666,2
6,1002384,9,NGP,39.78,0.27618814,2
6,1000064,9,NGP,51.64,0.06469987,6
6,1007263,3,Ethanol,62.09,0.057923606,7
6,1002308,5,Cement,109.45,1.3898961,8
6,1006842,5,Cement,119.87,0.905528727,8
6,1005662,5,Cement,124.26,0.77096907,8
6,1007927,5,Cement,129.96,0.634929516,8
6,1002431,5,Cement,131.65,0.600953247,8
6,1001804,1,Hydrogen,136.06,0.162130752,8
6,1002527,5,Cement,143.51,0.409857318,8
6,1006642,5,Cement,152.38,0.333219528,8
6,1006395,1,Hydrogen,157.85,0.08861868,8
6,1005946,5,Cement,171.53,0.196469721,8
6,1004612,5,Cement,186.46,0.158683959,8
6,1002338,1,Hydrogen,221.91,0.026088768,8
6,1002565,1,Hydrogen,350.1,0.00622296,8
0,0,0,EOTF,0,0,0
