Composite Table:
h               h1              datayear    HistoricalCapacity
TX_E-MX_NE      TX_E            2002        865
TX_E-MX_NE      TX_E            2003        865
TX_E-MX_NE      TX_E            2004        865
TX_E-MX_NE      TX_E            2005        865
TX_E-MX_NE      TX_E            2006        865
TX_E-MX_NE      TX_E            2007        865
TX_E-MX_NE      TX_E            2008        925
TX_E-MX_NE      TX_E            2009        925
TX_E-MX_NE      TX_E            2010        925
TX_E-MX_NE      TX_E            2011        925
TX_E-MX_NE      TX_E            2012        925
TX_E-MX_NE      TX_E            2013        925
TX_E-MX_NE      TX_E            2014        925
TX_E-MX_NE      TX_E            2015        925
TX_E-MX_NE      TX_E            2016        925
TX_E-MX_NE      TX_E            2017        925
TX_E-MX_NE      TX_E            2018        925
TX_E-MX_NE      TX_E            2019        925
TX_E-MX_NE      TX_E            2020        925
TX_E-MX_NE      TX_E            2021        925
TX_E-MX_SS      MX_SS           2019        2600
TX_E-MX_SS      MX_SS           2020        2600
TX_E-MX_SS      MX_SS           2021        2600
TX_N            TX_E            2010        6733
TX_N            TX_E            2011        6733
TX_N            TX_E            2012        6733
TX_N            TX_E            2013        6733
TX_N            TX_E            2014        6733
TX_N            TX_E            2015        6733
TX_N            TX_E            2016        6733
TX_N            TX_E            2017        6733
TX_N            TX_E            2018        6733
TX_N            TX_E            2019        6893
TX_N            TX_E            2020        6893
TX_N            TX_E            2021        6893
TX_N            TX_W            2010        700
TX_N            TX_W            2011        700
TX_N            TX_W            2012        700
TX_N            TX_W            2013        700
TX_N            TX_W            2014        700
TX_N            TX_W            2015        700
TX_N            TX_W            2016        700
TX_N            TX_W            2017        700
TX_N            TX_W            2018        700
TX_N            TX_W            2019        700
TX_N            TX_W            2020        700
TX_N            TX_W            2021        700
TX_W            NM              1990        3643
TX_W            NM              1994        3905
TX_W            NM              1995        3905
TX_W            NM              1996        4020
TX_W            NM              1997        4020
TX_W            NM              1998        4020
TX_W            NM              1999        4020
TX_W            NM              2000        4020
TX_W            NM              2001        4020
TX_W            NM              2002        4250
TX_W            NM              2003        4250
TX_W            NM              2004        4570
TX_W            NM              2005        4570
TX_W            NM              2006        4570
TX_W            NM              2007        4570
TX_W            NM              2008        4570
TX_W            NM              2009        4570
TX_W            NM              2010        4570
TX_W            NM              2011        4570
TX_W            NM              2012        4570
TX_W            NM              2013        4570
TX_W            NM              2014        4570
TX_W            NM              2015        4570
TX_W            NM              2016        4570
TX_W            NM              2017        4570
TX_W            NM              2018        4752
TX_W            NM              2019        4752
TX_W            NM              2020        5022
TX_W            NM              2021        5022
TX_W            OK              1990        4312
TX_W            OK              1994        4476
TX_W            OK              1995        4476
TX_W            OK              1996        4496
TX_W            OK              1997        4496
TX_W            OK              1998        4496
TX_W            OK              1999        4496
TX_W            OK              2000        4496
TX_W            OK              2001        4496
TX_W            OK              2002        4496
TX_W            OK              2003        4496
TX_W            OK              2004        4496
TX_W            OK              2005        4521
TX_W            OK              2006        4541
TX_W            OK              2007        4541
TX_W            OK              2008        4541
TX_W            OK              2009        4541
TX_W            OK              2010        4541
TX_W            OK              2011        4541
TX_W            OK              2012        4541
TX_W            OK              2013        4541
TX_W            OK              2014        4541
TX_W            OK              2015        4541
TX_W            OK              2016        4541
TX_W            OK              2017        4541
TX_W            OK              2018        4541
TX_W            OK              2019        4541
TX_W            OK              2020        4541
TX_W            OK              2021        4541
TX_W            TX_E            2010        1420
TX_W            TX_E            2011        1420
TX_W            TX_E            2012        1420
TX_W            TX_E            2013        1420
TX_W            TX_E            2014        1420
TX_W            TX_E            2015        1420
TX_W            TX_E            2016        1420
TX_W            TX_E            2017        1420
TX_W            TX_E            2018        1420
TX_W            TX_E            2019        3170
TX_W            TX_E            2020        3170
TX_W            TX_E            2021        7270
TX_W            TX_N            2010        1400
TX_W            TX_N            2011        1400
TX_W            TX_N            2012        1400
TX_W            TX_N            2013        1400
TX_W            TX_N            2014        1400
TX_W            TX_N            2015        1400
TX_W            TX_N            2016        1400
TX_W            TX_N            2017        1400
TX_W            TX_N            2018        1400
TX_W            TX_N            2019        1560
TX_W            TX_N            2020        1560
TX_W            TX_N            2021        1560
TX_W            TX_W-MX_NE      1990        0
TX_W            TX_W-MX_NE      1994        90
TX_W            TX_W-MX_NE      1995        90
TX_W            TX_W-MX_NE      1996        90
TX_W            TX_W-MX_NE      1997        298
TX_W            TX_W-MX_NE      1998        298
TX_W            TX_W-MX_NE      1999        298
TX_W            TX_W-MX_NE      2000        298
TX_W            TX_W-MX_NE      2001        298
TX_W            TX_W-MX_NE      2002        398
TX_W            TX_W-MX_NE      2003        398
TX_W            TX_W-MX_NE      2004        398
TX_W            TX_W-MX_NE      2005        398
TX_W            TX_W-MX_NE      2006        398
TX_W            TX_W-MX_NE      2007        398
TX_W            TX_W-MX_NE      2008        398
TX_W            TX_W-MX_NE      2009        398
TX_W            TX_W-MX_NE      2010        398
TX_W            TX_W-MX_NE      2011        398
TX_W            TX_W-MX_NE      2012        398
TX_W            TX_W-MX_NE      2013        1000
TX_W            TX_W-MX_NE      2014        1000
TX_W            TX_W-MX_NE      2015        1000
TX_W            TX_W-MX_NE      2016        1570
TX_W            TX_W-MX_NE      2017        4070
TX_W            TX_W-MX_NE      2018        4070
TX_W            TX_W-MX_NE      2019        4070
TX_W            TX_W-MX_NE      2020        4070
TX_W            TX_W-MX_NE      2021        4070
TX_W-MX_NE      MX_NE           1990        0
TX_W-MX_NE      MX_NE           1994        90
TX_W-MX_NE      MX_NE           1995        90
TX_W-MX_NE      MX_NE           1996        90
TX_W-MX_NE      MX_NE           1997        298
TX_W-MX_NE      MX_NE           1998        298
TX_W-MX_NE      MX_NE           1999        298
TX_W-MX_NE      MX_NE           2000        298
TX_W-MX_NE      MX_NE           2001        298
TX_W-MX_NE      MX_NE           2002        398
TX_W-MX_NE      MX_NE           2003        398
TX_W-MX_NE      MX_NE           2004        398
TX_W-MX_NE      MX_NE           2005        398
TX_W-MX_NE      MX_NE           2006        398
TX_W-MX_NE      MX_NE           2007        398
TX_W-MX_NE      MX_NE           2008        398
TX_W-MX_NE      MX_NE           2009        398
TX_W-MX_NE      MX_NE           2010        398
TX_W-MX_NE      MX_NE           2011        398
TX_W-MX_NE      MX_NE           2012        398
