!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
500	CA	landfill	153.904		24.543	
501	TX	landfill	153.836		24.549	
502	NH	landfill	153.379		24.590	
503	TX	landfill	152.835		24.639	
504	IA	landfill	151.727		24.740	
505	CA	landfill	151.441		24.766	
506	KY	landfill	150.651		24.839	
507	IL	landfill	150.002		24.900	
508	PR	landfill	149.239		24.971	
509	PA	landfill	148.924		25.001	
510	TX	landfill	148.806		25.013	
511	AL	landfill	148.318		25.059	
512	NM	landfill	147.750		25.114	
513	PA	landfill	147.633		25.125	
514	VA	landfill	147.022		25.185	
515	VA	landfill	144.609		25.424	
516	PA	landfill	144.576		25.428	
517	IA	landfill	142.964		25.592	
518	NJ	landfill	142.471		25.643	
519	CA	landfill	142.459		25.645	
520	AZ	landfill	142.210		25.671	
521	ID	farm		720.951		25.707	
522	GA	landfill	141.311		25.765	
523	WA	landfill	140.596		25.841	
524	MI	landfill	140.195		25.884	
525	MO	landfill	140.181		25.885	
526	NY	landfill	140.165		25.887	
527	OH	landfill	139.829		25.923	
528	NC	landfill	139.234		25.988	
529	HI	landfill	138.798		26.036	
530	TX	landfill	138.521		26.066	
531	VA	landfill	138.223		26.099	
532	IN	landfill	138.093		26.113	
533	FL	landfill	137.759		26.150	
534	ID	landfill	136.743		26.264	
535	IN	landfill	136.076		26.340	
536	CA	landfill	135.768		26.375	
537	OH	landfill	134.957		26.468	
538	IA	landfill	133.943		26.587	
539	CA	landfill	133.438		26.646	
540	MI	landfill	132.881		26.713	
541	ID	farm		540.795		26.841	
542	MO	landfill	130.127		27.049	
543	NJ	landfill	130.076		27.055	
544	AL	landfill	129.178		27.168	
545	NY	landfill	128.248		27.287	
546	CT	landfill	127.727		27.354	
547	NY	landfill	127.698		27.357	
548	TX	farm		467.317		27.555	
549	WI	landfill	125.405		27.660	
550	CA	farm		456.440		27.680	
551	PA	landfill	125.181		27.690	
552	ID	farm		454.199		27.706	
553	SD	landfill	123.962		27.856	
554	NC	landfill	123.634		27.901	
555	MA	landfill	122.561		28.050	
556	CO	landfill	122.437		28.068	
557	VA	landfill	121.694		28.173	
558	AL	landfill	121.675		28.176	
559	NC	landfill	120.870		28.291	
560	MA	landfill	120.625		28.327	
561	AL	landfill	120.241		28.382	
562	AZ	landfill	120.088		28.405	
563	ID	farm		400.322		28.433	
564	LA	landfill	119.718		28.459	
565	MT	landfill	119.145		28.544	
