MNUMYR,MNUMNR,M24,M4,M3,Gen45VDataByTech
34,5,7,1,3,79.87
34,5,7,2,1,88.18
34,5,7,2,2,3.77
34,5,7,2,3,170.65
34,5,7,3,1,68.32
34,5,7,3,2,0.11
34,5,7,3,3,84.88
34,5,7,4,1,155.38
34,5,7,4,3,151.37
34,5,8,1,1,66.45
34,5,8,1,2,4.83
34,5,8,1,3,79.95
34,5,8,2,1,61.14
34,5,8,2,2,15.11
34,5,8,2,3,170.97
34,5,8,3,1,65.11
34,5,8,3,2,4.16
34,5,8,3,3,84.97
34,5,8,4,1,156.35
34,5,8,4,2,0.17
34,5,8,4,3,152.35
34,5,9,1,1,57.67
34,5,9,1,2,12.43
34,5,9,1,3,80.02
34,5,9,2,1,56.88
34,5,9,2,2,30.07
34,5,9,2,3,171.18
34,5,9,3,1,53.29
34,5,9,3,2,11.94
34,5,9,3,3,85.52
34,5,9,4,1,151.94
34,5,9,4,2,7.75
34,5,9,4,3,151.71
34,5,10,1,1,54.71
34,5,10,1,2,20.59
