MNUMYR,MNUMNR,MNUMYRVIN,M3,GDS_Vintage45V
37,22,35,3,0.002
37,22,36,1,0.0031
37,22,36,2,0.1306
37,22,36,3,0.001
37,22,37,3,0.0009
37,23,34,1,0.0311
37,23,34,2,0.2374
37,23,34,3,0.0006
37,23,35,1,0.056
37,23,35,2,0.0856
37,23,35,3,0.0002
37,23,36,1,0.0646
37,23,36,2,0.2607
37,23,36,3,0.0001
37,23,37,3,0.0001
37,24,34,1,0.0504
37,24,34,2,0.2957
37,24,35,1,0.0253
37,24,35,2,0.2385
37,24,35,3,0.0045
37,24,36,1,0.0637
37,24,36,2,0.0465
37,24,36,3,0.0054
37,24,37,1,0.1423
37,24,37,3,0.0046
37,25,34,2,0.2162
37,25,34,3,0.008
37,25,35,1,0.0937
37,25,35,2,0.0842
37,25,35,3,0.0055
37,25,36,1,0.0012
37,25,36,2,0.1423
37,25,36,3,0.0004
37,25,37,1,0.104
37,25,37,3,0.0004
38,1,34,1,0.0616
38,1,34,2,0.1422
38,1,35,1,0.0287
38,1,35,2,0.3654
38,1,35,3,0.0013
38,1,36,1,0.0112
38,1,36,2,0.2262
38,1,36,3,0.0015
38,1,37,3,0.0013
38,1,38,3,0.0013
38,2,34,2,0.0948
38,2,35,2,0.0997
38,2,35,3,0.0015
38,2,36,2,0.0545
38,2,36,3,0.0018
38,2,37,2,0.0254
38,2,37,3,0.0015
38,2,38,2,0.4503
38,2,38,3,0.0015
38,3,34,1,0.0214
38,3,34,2,0.2177
38,3,35,1,0.023
38,3,35,2,0.2017
38,3,35,3,0.0018
38,3,36,1,0.0317
38,3,36,3,0.0011
38,3,37,1,0.0597
38,3,37,3,0.0009
38,3,38,1,0.1016
38,3,38,3,0.0009
38,4,34,1,0.1017
38,4,34,2,0.1384
38,4,35,1,0.0418
38,4,35,2,0.4546
38,4,35,3,0.0022
38,4,36,1,0.0651
38,4,36,2,0.1873
38,4,36,3,0.0062
38,4,37,3,0.0022
38,4,38,3,0.0021
38,5,34,1,0.0815
38,5,34,2,0.1197
38,5,35,2,0.1042
38,5,35,3,0.0006
38,5,36,2,0.3943
38,5,36,3,0.0008
38,5,37,1,0.2332
38,5,37,3,0.0006
38,5,38,1,0.2095
38,5,38,3,0.0006
38,6,34,2,0.1056
38,6,35,1,0.3639
38,6,35,2,0.1356
38,6,35,3,0.0012
38,6,36,2,0.0792
38,6,36,3,0.0014
38,6,37,1,0.6361
38,6,37,3,0.0012
38,6,38,2,0.6378
38,6,38,3,0.0012
38,7,34,2,0.0799
38,7,34,3,0.0007
38,7,35,1,0.1504
38,7,35,2,0.1164
38,7,35,3,0.0001
38,7,36,1,0.1345
38,7,36,2,0.0688
38,7,36,3,0.0001
38,7,37,1,0.1153
38,7,37,3,0.0001
38,7,38,1,0.3075
38,7,38,3,0.0001
38,8,34,1,0.5699
38,8,35,2,0.0038
38,8,35,3,0.0556
38,8,36,2,0.1068
38,9,34,1,0.154
38,9,34,2,0.0967
38,9,35,1,0.0349
38,9,35,2,0.2394
38,9,35,3,0.0024
38,9,36,1,0.1235
38,9,36,2,0.347
38,9,36,3,0
38,9,37,1,0.081
38,9,37,3,0
38,9,38,3,0
38,10,34,1,0.0339
38,10,34,2,0.0266
38,10,35,1,0.4708
38,10,35,2,0.0378
38,10,35,3,0.0002
38,10,36,2,0.8052
38,10,36,3,0.0003
38,10,37,3,0.0003
38,10,38,3,0.0002
38,11,34,1,0.0007
38,11,34,2,0.1638
38,11,35,2,0.4385
38,11,35,3,0.0016
38,11,36,1,0.023
38,11,36,2,0.2622
38,11,36,3,0.0015
38,11,37,1,0.3304
38,11,37,3,0.0013
38,11,38,1,0.0128
38,11,38,3,0.0012
38,12,34,1,0.0749
38,12,34,2,0.4201
38,12,35,2,0.0324
38,12,35,3,0.0001
38,12,36,1,0.0724
38,12,36,3,0.0001
38,12,37,3,0.0001
38,12,38,3,0.0001
38,13,34,2,0.1238
38,13,35,2,0.1567
38,13,35,3,0.0007
38,13,36,2,0.0517
38,13,36,3,0.0008
38,13,37,1,0.4488
38,13,37,3,0.0007
38,13,38,3,0.0007
38,14,34,2,0.0686
38,14,35,2,0.0599
38,14,35,3,0.0002
38,14,36,2,0.0261
38,14,36,3,0.0003
38,14,37,1,0.2553
38,14,37,2,0.0051
38,14,37,3,0.0002
38,14,38,1,0.7447
38,14,38,2,0.2846
38,14,38,3,0.0002
38,15,34,2,0.1539
38,15,34,3,0.087
38,15,35,2,0.1164
38,15,35,3,0.0879
38,15,36,2,0.025
38,15,36,3,0.001
38,15,37,1,0.1429
38,15,37,3,0.0009
38,15,38,1,0.8571
38,15,38,3,0.0008
38,16,34,2,0.1154
38,16,35,2,0.1475
