 mnumyr,mnumnr,m24,m4,LDLM
34,10,22,4,2771.432
34,10,23,4,2762.665
34,10,24,4,2803.483
34,11,1,1,1936.252
34,11,2,1,1925.062
34,11,3,1,1890.385
34,11,4,1,1900.495
34,11,5,1,1924.134
34,11,6,1,1959.581
34,11,7,1,2231.306
34,11,8,1,2833.497
34,11,9,1,3325.779
34,11,10,1,3492.669
34,11,11,1,3566.402
34,11,12,1,3614.214
34,11,13,1,3613.514
34,11,14,1,3595.423
34,11,15,1,3517.772
34,11,16,1,3432.737
34,11,17,1,3269.158
34,11,18,1,2223.370
34,11,19,1,1704.826
34,11,20,1,1855.101
34,11,21,1,1896.637
34,11,22,1,1907.983
34,11,23,1,1907.743
34,11,24,1,1921.474
34,11,1,2,1633.981
34,11,2,2,1512.816
34,11,3,2,1525.167
34,11,4,2,1574.873
34,11,5,2,1635.296
34,11,6,2,1584.071
34,11,7,2,1734.445
34,11,8,2,3024.759
34,11,9,2,4321.281
34,11,10,2,5171.464
34,11,11,2,5480.537
34,11,12,2,5573.095
34,11,13,2,5616.723
34,11,14,2,5584.102
34,11,15,2,5441.812
34,11,16,2,4777.157
34,11,17,2,3209.564
34,11,18,2,1804.597
34,11,19,2,1235.243
34,11,20,2,1185.277
34,11,21,2,1241.011
34,11,22,2,1344.217
34,11,23,2,1404.480
34,11,24,2,1422.196
34,11,1,3,1147.132
34,11,2,3,1117.998
34,11,3,3,1105.233
34,11,4,3,1102.547
34,11,5,3,1209.457
34,11,6,3,1172.092
34,11,7,3,1327.492
34,11,8,3,2183.172
34,11,9,3,2767.243
34,11,10,3,3087.269
34,11,11,3,3250.132
34,11,12,3,3290.092
34,11,13,3,3294.104
34,11,14,3,3304.893
34,11,15,3,3220.773
34,11,16,3,2930.667
34,11,17,3,1879.823
34,11,18,3,989.461
34,11,19,3,829.674
34,11,20,3,880.700
34,11,21,3,974.059
34,11,22,3,1087.922
34,11,23,3,1110.111
34,11,24,3,1117.684
34,11,1,4,2785.457
34,11,2,4,2762.998
34,11,3,4,2794.981
34,11,4,4,2862.698
34,11,5,4,3193.269
34,11,6,4,3207.362
34,11,7,4,2982.096
34,11,8,4,3711.322
34,11,9,4,5964.415
34,11,10,4,6718.877
34,11,11,4,6840.333
34,11,12,4,6891.723
34,11,13,4,6934.630
34,11,14,4,6885.014
34,11,15,4,6742.953
34,11,16,4,6276.483
34,11,17,4,4471.927
34,11,18,4,2686.332
34,11,19,4,2606.938
34,11,20,4,2796.783
34,11,21,4,2855.212
34,11,22,4,2889.472
34,11,23,4,2829.300
34,11,24,4,2800.622
34,12,1,1,847.191
34,12,2,1,836.013
34,12,3,1,810.802
34,12,4,1,799.438
34,12,5,1,777.231
34,12,6,1,770.859
34,12,7,1,761.356
34,12,8,1,883.238
34,12,9,1,1069.382
34,12,10,1,1238.129
34,12,11,1,1388.354
34,12,12,1,1474.781
34,12,13,1,1474.363
34,12,14,1,1472.655
34,12,15,1,1329.094
34,12,16,1,1169.018
34,12,17,1,1007.574
34,12,18,1,774.936
34,12,19,1,750.824
34,12,20,1,800.852
34,12,21,1,851.089
34,12,22,1,853.319
34,12,23,1,861.456
34,12,24,1,858.096
34,12,1,2,1256.172
34,12,2,2,1237.176
34,12,3,2,1189.435
