!Resid             Play     ITEM  COUNTER
@
UGID0002419   99911136     489     489
UGUT0021619   99943136     490     490
UGID0005019   99911136     491     491
UGUT0024319   99943136     492     492
UGID0007819   99911136     493     493
UGUT0027219   99943136     494     494
UGID0010819   99911136     495     495
UGID0013919   99911136     496     496
UGID0017119   99911136     497     497
UGID0020419   99911136     498     498
UGID0023819   99911136     499     499
UGID0027319   99911136     500     500
UGMO0003619       5650     501     501
UOCA0012517   99904010     502     502
UOUT0200617       2103     503     503
UOMT0529617       2804     504     504
UOWY0865217   99949033     508     508
UOWY0884417   99949033     509     509
UOCO0319217   99905039     510     510
UOWY1007317   99949039     511     511
UONE0127717   99926039     512     512
UOTX1256917       4763     513     513
UOTX1557017       4473     514     514
UOTX1617517       4747     515     515
UOTX1952017       4748     516     516
UOTX2105117       4749     517     517
UGWA0000320        503     518     518
UGWA0010919        451     529     529
UGWA0015019        452     530     530
UGWY0038919       3550     531     531
UGMO0003619       5650     532     532
UOCA0012517   99904010     533     533
UOUT0200617       2103     534     534
UOWY1000017   99949033     535     535
UOCO0319217   99905039     536     536
UOTX2104717       4763     537     537
UOTX2134817       4473     538     538
UOTX2165317       4748     539     539
UGWA0000320        503     540     540
UGWA0015219        451     543     543
UGWY0038919       3550     544     544
UGMO0003619       5650     545     545
UOCA0012517   99904010     546     546
UOUT0200617       2103     547     547
UOCO0319217   99905039     548     548
UOTX2195417       4473     549     549
UOTX2210717       4748     550     550
UOTX2226117       4749     551     551
UGWA0000320        503     552     552
UGWA0015519        450     553     553
UGWY0038919       3550     554     554
UGMO0003619       5650     555     555
UOUT0200617       2103     556     556
UOTX2225817       4473     557     557
UOTX2256317       4748     558     558
UGWA0000320        503     559     559
UGWA0015819        450     560     560
UGWY0038919       3550     561     561
UGMO0003619       5650     562     562
UOUT0200617       2103     563     563
UOTX2286417       4473     564     564
UOTX2301717       4748     565     565
UGWA0000320        503     566     566
UGWA0016519        450     567     567
UGMO0003619       5650     568     568
UOUT0200617       2103     569     569
UOTX2316817       4473     570     570
UOTX2332117       4748     571     571
UGWA0016819        450     572     572
UGMO0003619       5650     573     573
UOUT0200617       2103     574     574
UOTX2347217       4473     575     575
UOTX2362517       4748     576     576
UGWA0017119        450     577     577
UGMO0003619       5650     578     578
UOUT0200617       2103     579     579
UOTX2392617       4473     580     580
UOTX2407917       4748     581     581
UGWA0017419        450     582     582
UGMO0003619       5650     583     583
UOUT0200617       2103     584     584
UOTX2423017       4473     585     585
UOTX2438317       4748     586     586
UGWA0017719        450     587     587
UGMO0003619       5650     588     588
UOUT0200617       2103     589     589
UOTX2453417       4473     590     590
UOTX2468717       4748     591     591
UGWA0018019        450     592     592
UGMO0003619       5650     593     593
UOUT0200617       2103     594     594
UOTX2483817       4473     595     595
UOTX2499117       4748     596     596
UGWA0018319        450     597     597
UGMO0003619       5650     598     598
UOUT0200617       2103     599     599
UOTX2514217       4473     600     600
UOTX2529517       4748     601     601
UGWA0018619        450     602     602
UGMO0003619       5650     603     603
UOUT0200617       2103     604     604
UOTX2544617       4473     605     605
UOTX2559917       4748     606     606
UGWA0018919        450     607     607
UGMO0003619       5650     608     608
UOUT0200617       2103     609     609
UOTX2575017       4473     610     610
UOTX2590317       4748     611     611
UGWA0019219        450     612     612
UGMO0003619       5650     613     613
UOUT0200617       2103     614     614
UOTX2605417       4473     615     615
UOTX2620717       4748     616     616
UGWA0019519        450     617     617
UGMO0003619       5650     618     618
UOUT0200617       2103     619     619
UOTX2635817       4473     620     620
UOTX2651117       4748     621     621
UGWA0019819        450     623     623
UGMO0003619       5650     624     624
UOMT0614217   99925030     625     625
UOTX2666217       4473     626     626
UOTX2681517       4748     627     627
UGWA0020119        450     628     628
UGMO0003619       5650     629     629
UOTX2696617       4473     630     630
UOTX2711917       4748     631     631
UGWA0000320        503     632     632
UGWA0020419        450     633     633
UGMO0003619       5650     634     634
UOTX2727017       4473     635     635
UOTX2742317       4748     636     636
UGWA0020719        450     637     637
UGMO0003619       5650     638     638
UOTX2757417       4473     639     639
UOTX2772717       4748     640     640
UGWA0021019        450     641     641
UGMO0003619       5650     642     642
UOTX2787817       4473     643     643
UOTX2803117       4748     644     644
UGWA0021319        450     645     645
UGMO0003619       5650     646     646
UOTX2818217       4473     647     647
UOTX2833517       4748     648     648
UGWA0021619        450     649     649
UGMO0003619       5650     650     650
UOTX2848617       4473     651     651
UOTX2863917       4748     652     652
UGWA0021919        450     653     653
UGMO0003619       5650     654     654
UOTX2879017       4473     655     655
UOTX2894317       4748     656     656
UGWA0022219        450     657     657
UGMO0003619       5650     658     658
UOWA2017310        405     659     659
UOCA2069610       1101     660       3
UOCA2069810       1102     661     660
UOCA2070010       1103     662     661
UOCA2070510       1104     663       6
UOCA2070810       1105     664     662
UOCA2071510       1106     665       8
UOCA2071710       1107     666     663
UOCA2072010       1109     667     664
UOCA2072810       1202     669     666
UOCA2073010       1204     670     667
UOCA2073510       1211     671     668
UOCA2074310       1301     672     669
UOCA2076310       1302     673     670
UOCA2079510       1312     674     671
UOCA2080310       1401     675     672
UOCA2081110       1402     676      20
UOCA2082210       1403     677     673
UOCA2082710       1404     678     674
UOCA2083410       1405     679     675
UOCA2083710       1406     680      24
UOCA2084010       1407     681      25
UONV2086910       1901     682     676
UONV2087910       1903     683     677
UOUT2126910       2101     684     678
UONM2129010       2102     685     679
UOUT2133610       2106     686      30
UONM2146910   99930022     687      31
UOCO2164510       2305     688     680
UOAZ2164810       2402     689      33
UOUT2165110       2403     690     681
UOAZ2165510       2404     691     682
UOMT2177010       2802     692     683
UOMT2177310       2803     693      36
UOMT2177810       2805     694     684
UOMT2178310       2806     695     685
UOMT2178410       2807     696     686
UOMT2227710       2906     697     687
UOMT2228210       2910     698     688
UOND2237810       3101     699      42
UOMT2241510       3105     700     689
UOND2242110       3106     701      43
UOMT2283710   99925033     702     690
